dates,mean,p2.5,p25,p75,p97.5
28/11/21,316.14285714285694,316.142857142857,316.142857142857,316.142857142857,316.142857142857
29/11/21,316.10698689956325,277.2964285714285,298.8214285714285,343.1071428571428,355.71428571428567
30/11/21,317.52916406737364,261.42499999999995,291.875,357.07142857142856,374.075
01/12/21,319.1028280307756,256.32410714285714,289.89285714285717,364.1428571428571,381.62410714285716
02/12/21,320.0028072364317,255.60714285714286,289.625,364.2232142857143,383.24107142857144
03/12/21,320.2205110210023,256.3433035714286,290.05580357142856,363.3348214285714,381.85870535714287
04/12/21,320.0244755926388,258.64832589285714,289.7053571428571,362.19754464285717,380.2678571428571
05/12/21,319.1041520456436,260.92762276785714,289.2829241071429,360.22433035714283,378.0766183035714
06/12/21,317.43772093990435,262.2857142857143,288.3571428571429,357.0,374.1
07/12/21,315.37242669993765,265.57142857142856,286.92857142857144,352.7857142857143,370.8571428571428
08/12/21,312.49469744229566,267.14285714285717,284.7142857142857,348.5,367.1214285714286
09/12/21,309.158452900811,266.22857142857146,282.42857142857144,344.1428571428571,362.6714285714286
10/12/21,305.3337492202121,265.3285714285714,279.14285714285717,338.8571428571429,359.95000000000005
11/12/21,301.0661260137243,264.8785714285714,275.85714285714283,333.2142857142857,354.7142857142857
12/12/21,296.36577250987733,262.0214285714286,272.7142857142857,326.2142857142857,350.8571428571428
13/12/21,291.325015595758,259.14285714285717,269.0,318.5,347.24285714285713
14/12/21,285.9530047826991,253.75714285714287,265.14285714285717,310.78571428571433,342.1428571428572
15/12/21,280.2981908920774,248.04285714285714,261.3571428571429,301.3571428571429,335.8571428571428
16/12/21,274.45456435849445,242.28571428571428,256.7857142857143,292.7857142857143,329.38571428571436
17/12/21,268.1859014348097,235.71428571428572,251.14285714285714,284.5,322.83571428571423
18/12/21,261.7186525265128,229.02142857142857,245.57142857142858,274.07142857142856,315.9357142857143
19/12/21,254.9263880224579,223.14285714285714,238.21428571428572,267.2142857142857,308.34285714285716
20/12/21,248.15491786234142,217.30714285714285,230.85714285714286,260.07142857142856,300.55
21/12/21,241.08421709295075,209.7357142857143,223.07142857142856,251.92857142857144,292.0
22/12/21,233.92950717404864,201.59285714285716,215.28571428571428,245.5,283.7142857142857
23/12/21,226.65772509877317,194.59285714285716,207.5,238.57142857142858,275.75
24/12/21,219.608442503639,187.57142857142858,200.57142857142858,231.92857142857144,267.95714285714286
25/12/21,212.30484508213763,178.87857142857143,193.35714285714283,225.5,258.5285714285714
26/12/21,205.35163235599916,171.57142857142858,186.64285714285717,219.78571428571428,248.55
27/12/21,198.10896236223746,163.57142857142858,179.5,214.21428571428572,239.12142857142857
28/12/21,191.13142025369103,156.0214285714286,172.85714285714286,208.78571428571428,230.69285714285718
29/12/21,184.33187772925766,149.0,167.21428571428572,201.78571428571428,223.14285714285714
30/12/21,177.62507797878976,141.71428571428572,160.64285714285717,195.85714285714286,215.97857142857143
31/12/21,171.00623830318153,135.0,155.28571428571428,190.42857142857142,207.38571428571427
01/01/22,164.60677895612395,128.61428571428573,149.0,184.5,200.12142857142857
02/01/22,158.21085464753585,121.9,142.42857142857144,177.64285714285717,192.55
03/01/22,151.96049074651694,116.63571428571429,136.85714285714286,171.42857142857142,184.3642857142857
04/01/22,145.9089207735496,110.73571428571428,131.35714285714283,165.35714285714283,177.8357142857143
05/01/22,139.8912455812019,105.28571428571429,125.64285714285714,159.07142857142856,171.69285714285718
06/01/22,134.09315866084424,100.04285714285714,120.21428571428572,153.21428571428572,164.28571428571428
