dates,mean,p2.5,p25,p75,p97.5
21/11/21,16174.95238095238,11143.792857142857,13582.785714285717,18150.92857142857,22773.25714285714
22/11/21,16899.153638814016,11605.235714285713,14159.142857142855,18983.714285714283,23760.357142857145
23/11/21,17640.99408065113,12102.47857142857,14765.428571428572,19833.571428571428,24848.000000000004
24/11/21,18399.354262459703,12598.2,15399.428571428569,20726.428571428572,26046.57142857142
25/11/21,19172.943977591036,13125.67142857143,16040.142857142859,21622.000000000007,27265.807142857135
26/11/21,19959.678241107762,13687.550000000003,16685.142857142855,22488.714285714286,28490.021428571425
27/11/21,20758.23851804873,14248.75,17388.71428571429,23420.571428571428,29734.27857142857
28/11/21,21567.136832091328,14825.342857142856,18135.214285714283,24354.285714285717,30982.37857142857
29/11/21,22383.932984514562,15420.5,18891.857142857138,25262.28571428571,32254.092857142852
30/11/21,23206.548385391892,15999.09285714286,19654.428571428565,26226.714285714283,33515.81428571428
01/12/21,24032.276940965065,16600.021428571432,20417.0,27220.642857142862,34747.61428571429
02/12/21,24858.268854711696,17205.96428571429,21169.214285714283,28281.0,35985.29285714285
03/12/21,25682.647693039482,17824.921428571426,21937.142857142855,29325.857142857138,37216.207142857136
04/12/21,26502.184503990276,18405.914285714287,22679.78571428571,30368.5,38431.09285714286
05/12/21,27313.602399450345,18954.757142857146,23379.714285714275,31354.571428571428,39625.96428571428
06/12/21,28113.55610168596,19513.642857142855,24096.785714285717,32194.357142857145,40762.185714285704
07/12/21,28899.306643412085,20053.21428571429,24772.642857142855,32964.071428571435,41888.45714285713
08/12/21,29667.767401300138,20577.99285714286,25401.357142857152,33718.0,42983.92142857142
09/12/21,30415.264362348713,21071.964285714283,26000.42857142857,34413.35714285714,44012.02857142857
10/12/21,31138.647904444795,21546.628571428573,26566.499999999996,35104.071428571435,45009.12857142856
11/12/21,31834.455737011787,22010.03571428571,27139.642857142855,35782.142857142855,45926.9642857143
12/12/21,32499.086359071927,22468.9,27683.857142857145,36462.78571428571,46766.68571428571
13/12/21,33129.84503990276,22886.65714285714,28201.714285714283,37117.142857142855,47533.73571428569
14/12/21,33723.43660483061,23303.02857142858,28701.785714285714,37720.857142857145,48232.64285714283
15/12/21,34276.66640241002,23694.964285714283,29164.357142857145,38324.71428571428,48860.72142857143
16/12/21,34787.358332012045,24075.292857142857,29607.071428571428,38910.78571428572,49411.678571428565
17/12/21,35252.61677501189,24441.49285714286,30011.428571428572,39504.92857142857,49854.22857142857
18/12/21,35669.82257808784,24783.83571428572,30397.071428571435,40028.57142857142,50187.19285714286
19/12/21,36037.48866338988,25085.09285714286,30742.285714285717,40497.785714285725,50453.96428571429
20/12/21,36353.33470746789,25383.51428571428,31068.07142857142,40889.857142857145,50585.18571428572
