dates,mean,p2.5,p25,p75,p97.5
28/11/21,19751.048857142858,13068.4,16011.285714285716,22937.464285714286,29064.328571428567
29/11/21,20405.86076190476,13441.835714285717,16520.89285714285,23731.392857142866,30021.871428571423
30/11/21,21062.473523809524,13828.696428571428,17046.250000000004,24530.321428571435,30952.307142857142
01/12/21,21717.893523809526,14213.796428571426,17554.64285714286,25326.571428571428,31883.142857142848
02/12/21,22370.878095238095,14595.735714285714,18067.928571428572,26120.92857142857,32767.896428571417
03/12/21,23019.63342857143,14983.346428571429,18574.89285714286,26876.785714285714,33627.296428571426
04/12/21,23661.619142857144,15358.14285714286,19105.964285714286,27640.857142857145,34501.56428571428
05/12/21,24294.410380952377,15720.096428571429,19615.10714285714,28391.28571428571,35328.99642857144
06/12/21,24916.230571428572,16105.03928571429,20133.071428571428,29119.464285714283,36118.81071428572
07/12/21,25524.92771428571,16473.43571428571,20648.64285714286,29837.964285714286,36898.89642857143
08/12/21,26119.110285714287,16845.725,21156.28571428571,30534.928571428565,37640.025
09/12/21,26695.616476190477,17224.27142857143,21651.892857142855,31211.892857142862,38336.10714285714
10/12/21,27252.69152380952,17579.203571428574,22129.0,31866.60714285714,38980.02142857142
11/12/21,27788.096857142857,17925.785714285717,22605.928571428565,32503.17857142858,39578.435714285704
12/12/21,28299.136476190477,18266.992857142857,23066.78571428571,33106.89285714287,40130.782142857126
13/12/21,28784.560285714288,18601.821428571428,23512.714285714283,33659.67857142857,40612.81428571429
14/12/21,29242.05028571429,18916.16428571429,23930.678571428572,34160.71428571428,41049.72857142857
15/12/21,29669.60704761905,19225.764285714286,24347.28571428571,34629.607142857145,41432.078571428574
16/12/21,30065.885238095234,19526.110714285714,24733.14285714286,35077.99999999999,41748.33214285715
17/12/21,30428.598571428567,19818.085714285713,25103.07142857143,35490.82142857144,41988.82499999998
18/12/21,30755.908666666666,20098.639285714286,25447.250000000004,35833.71428571429,42192.435714285704
19/12/21,31047.266380952376,20356.15357142857,25757.499999999996,36124.92857142858,42305.035714285725
20/12/21,31300.560285714288,20585.625000000004,26036.357142857145,36382.500000000015,42359.80357142858
21/12/21,31514.625333333333,20793.41428571428,26287.107142857145,36581.178571428565,42356.12857142858
22/12/21,31689.396285714283,20980.264285714286,26540.499999999996,36708.571428571435,42280.52142857142
23/12/21,31823.442190476188,21131.807142857142,26756.89285714285,36824.2857142857,42152.0
24/12/21,31916.31095238095,21280.735714285714,26952.35714285714,36873.67857142857,41965.72857142858
25/12/21,31969.20952380952,21415.432142857142,27092.85714285714,36863.10714285713,41719.160714285696
26/12/21,31981.10076190476,21548.600000000006,27228.964285714283,36809.25,41405.253571428584
27/12/21,31952.774666666668,21651.478571428568,27336.17857142857,36709.67857142859,41019.903571428564
