dates,mean,p2.5,p25,p75,p97.5
02/08/21,128.42857142857105,128.428571428571,128.428571428571,128.428571428571,128.428571428571
03/08/21,129.8622260551946,114.7142857142855,120.7142857142855,136.7142857142855,158.2142857142855
04/08/21,136.87862723214272,119.10714285714275,123.60714285714275,146.10714285714275,181.35714285714275
05/08/21,142.5284826501623,120.17857142857137,126.08482142857137,154.3035714285714,197.1785714285714
06/08/21,145.7102462966721,107.4017857142857,123.3392857142857,162.7142857142857,218.98772321428535
07/08/21,151.32063717532466,107.66964285714285,126.07589285714285,170.63839285714283,235.54464285714283
08/08/21,157.09763437246346,108.31919642857142,128.00669642857142,179.19419642857142,251.05357142857142
09/08/21,163.01262777749596,108.15959821428571,129.98772321428572,187.53459821428572,268.8939732142857
10/08/21,169.33125,108.0,133.0,197.0,288.0
11/08/21,175.31548295454544,109.0,134.0,206.0,308.02499999999964
12/08/21,182.24446022727273,110.0,136.0,216.0,331.0
13/08/21,189.30639204545454,110.0,139.0,228.0,351.02499999999964
14/08/21,196.68522727272727,110.0,141.0,236.0,373.0
15/08/21,204.58409090909092,111.0,143.0,249.0,404.02499999999964
16/08/21,213.3240056818182,111.0,146.0,261.0,433.0
17/08/21,222.13323863636364,111.0,149.0,272.0,462.0
18/08/21,231.740625,112.0,151.0,289.0,501.0
19/08/21,241.47727272727272,111.0,155.0,301.0,530.0249999999996
20/08/21,252.2421875,112.0,157.0,317.0,571.0
21/08/21,263.6161931818182,113.0,160.0,334.0,613.0249999999996
22/08/21,275.8609375,114.0,163.0,352.0,657.0249999999996
23/08/21,288.6705965909091,113.0,166.0,371.25,717.0
24/08/21,302.49545454545455,114.0,169.0,391.0,770.0249999999996
25/08/21,316.578125,114.0,172.0,409.25,818.0249999999996
26/08/21,332.428125,114.0,175.0,432.0,891.0
27/08/21,348.3302556818182,115.0,178.0,454.0,964.0249999999996
28/08/21,365.9200284090909,115.0,181.75,480.0,1034.0499999999993
29/08/21,384.8024147727273,115.0,185.0,506.0,1114.074999999999
30/08/21,404.1826704545455,115.0,188.0,535.0,1210.074999999999
31/08/21,425.0377840909091,116.0,190.75,561.0,1314.0249999999996
01/09/21,447.5544034090909,116.0,194.0,593.0,1410.0249999999996
02/09/21,471.0355113636364,117.0,199.0,623.0,1524.0999999999985
03/09/21,497.1322443181818,118.0,203.0,658.25,1642.074999999999
04/09/21,524.1362215909091,117.0,206.0,696.0,1759.1249999999982
05/09/21,552.4751420454545,117.0,211.0,732.25,1912.0249999999996
06/09/21,583.5629261363637,119.0,214.0,774.0,2080.0499999999993
07/09/21,615.7957386363636,120.0,218.0,820.0,2252.0
08/09/21,651.2211647727273,118.97500000000002,224.0,864.0,2437.0249999999996
09/09/21,687.8414772727273,121.0,228.0,911.0,2622.0499999999993
