dates,mean,p2.5,p25,p75,p97.5
13/03/22,7771.171428571428,6265.8649999999925,6947.949999999999,8127.300000000003,9748.405000000002
14/03/22,7306.385714285715,5894.484999999992,6552.949999999999,7662.100000000003,9130.180000000004
15/03/22,6869.792857142856,5545.244999999992,6166.649999999998,7202.500000000004,8550.410000000003
16/03/22,6458.857142857142,5230.719999999992,5795.549999999999,6778.5000000000055,7995.510000000004
17/03/22,6075.885714285714,4942.6149999999925,5440.95,6399.5000000000055,7483.385
18/03/22,5722.164285714285,4678.064999999992,5130.699999999999,6057.950000000001,7019.455000000001
19/03/22,5400.97857142857,4436.619999999993,4850.449999999999,5758.95,6608.7750000000015
20/03/22,5108.721428571428,4224.624999999993,4599.049999999999,5480.099999999997,6228.945
21/03/22,4846.992857142856,4002.4749999999904,4363.199999999998,5194.299999999995,5884.140000000001
22/03/22,4616.335714285713,3803.974999999997,4156.399999999999,4983.550000000001,5582.915000000001
23/03/22,4414.8499999999985,3605.364999999998,3973.449999999999,4850.500000000004,5327.715000000001
24/03/22,4245.935714285713,3432.2999999999975,3869.149999999997,4686.000000000002,5105.145
25/03/22,4107.307142857141,3294.5949999999975,3775.449999999999,4485.500000000001,4924.325000000001
26/03/22,3998.071428571428,3185.8349999999978,3682.1999999999953,4308.250000000002,4777.260000000001
27/03/22,3918.6428571428564,3096.5099999999975,3650.5999999999985,4204.300000000005,4664.595000000001
28/03/22,3868.6642857142842,3021.149999999998,3602.399999999999,4148.599999999998,4609.770000000003
29/03/22,3846.514285714285,2968.794999999996,3529.7499999999964,4186.549999999999,4620.69
30/03/22,3850.7285714285713,2945.4499999999957,3500.7499999999964,4245.4,4695.815
31/03/22,3877.9499999999994,2946.6799999999957,3500.049999999991,4318.349999999998,4787.425000000001
01/04/22,3927.3142857142843,2966.5049999999956,3527.3000000000006,4367.449999999999,4873.565000000001
02/04/22,3999.049999999999,3004.9500000000044,3517.9500000000007,4500.699999999999,4975.810000000001
03/04/22,4093.4714285714267,3037.3250000000044,3540.0000000000014,4576.350000000001,5086.235000000002
04/04/22,4202.428571428571,3077.810000000004,3586.3000000000006,4777.049999999996,5192.7350000000015
05/04/22,4329.007142857142,3134.875000000004,3646.0000000000014,5006.449999999996,5368.724999999999
06/04/22,4468.97857142857,3202.815000000004,3743.0500000000015,5230.299999999996,5605.879999999999
07/04/22,4617.735714285714,3278.425000000004,3863.550000000002,5347.600000000001,5851.369999999999
08/04/22,4777.307142857142,3349.7000000000044,4011.800000000005,5459.200000000002,6113.374999999999
09/04/22,4939.3785714285705,3426.235000000004,4136.0999999999985,5620.8,6373.169999999998
10/04/22,5102.249999999999,3503.445000000004,4320.199999999999,5843.3,6634.404999999999
11/04/22,5266.707142857143,3583.795000000004,4457.9999999999945,6062.55,6897.314999999999
