dates,mean,p2.5,p25,p75,p97.5
04/04/22,4661.700000000001,4087.1785714285716,4469.999999999994,4845.482142857147,5416.933928571418
05/04/22,4402.875974025974,3857.785714285712,4222.714285714279,4575.96428571429,5111.421428571419
06/04/22,4152.212337662338,3640.660714285711,3967.2857142857147,4314.482142857147,4813.698214285705
07/04/22,3909.7480519480528,3442.949999999997,3735.16071428571,4063.3392857142844,4523.030357142848
08/04/22,3676.566233766234,3251.287499999997,3510.374999999996,3803.6250000000014,4239.176785714276
09/04/22,3451.93051948052,3065.014285714283,3302.464285714285,3560.1964285714275,3966.1285714285614
10/04/22,3235.811688311689,2883.905357142854,3102.3214285714275,3341.0892857142844,3699.932142857133
11/04/22,3029.6201298701308,2711.217857142854,2915.9464285714275,3134.464285714283,3445.5482142857045
12/04/22,2835.144155844156,2545.001785714283,2731.607142857142,2941.178571428574,3204.9803571428474
13/04/22,2650.4746753246764,2378.4053571428544,2550.5357142857133,2759.3571428571377,2977.4892857142763
14/04/22,2476.2194805194804,2217.1124999999975,2380.3392857142862,2574.321428571425,2765.2607142857073
15/04/22,2312.1857142857143,2065.419642857144,2228.0892857142862,2400.107142857144,2575.714285714279
16/04/22,2158.4649350649347,1928.603571428565,2083.339285714288,2240.732142857149,2392.3982142857076
17/04/22,2015.47987012987,1791.09642857143,1944.5357142857051,2095.8750000000086,2223.058928571422
18/04/22,1881.594155844156,1669.3875000000012,1820.5178571428503,1957.2857142857229,2065.141071428565
19/04/22,1755.6058441558444,1557.0535714285688,1699.8749999999934,1826.6250000000007,1916.1214285714213
20/04/22,1638.3370129870127,1455.064285714283,1581.2678571428567,1701.5357142857163,1781.517857142848
21/04/22,1528.6811688311686,1360.633928571426,1477.9821428571524,1586.7321428571431,1656.3267857142766
22/04/22,1426.0597402597405,1273.7732142857117,1380.2142857142858,1485.267857142855,1537.323214285712
23/04/22,1330.096753246753,1188.9535714285687,1285.2321428571427,1389.749999999998,1427.6732142857122
24/04/22,1240.8409090909095,1108.6982142857087,1197.7500000000016,1294.3928571428605,1330.9178571428552
25/04/22,1157.922077922078,1033.3607142857086,1119.1071428571477,1207.7142857142762,1248.541071428569
26/04/22,1081.1435064935065,962.2553571428516,1039.9285714285702,1127.1428571428548,1171.0232142857117
27/04/22,1009.8603896103897,895.494642857137,973.0178571428601,1052.1428571428646,1100.019642857143
28/04/22,944.1389610389612,831.5196428571371,905.1428571428639,986.2499999999984,1035.7500000000055
29/04/22,883.8175324675328,773.7428571428513,846.910714285714,922.8749999999957,975.5464285714286
30/04/22,827.9318181818185,723.9428571428514,795.3214285714316,863.6785714285638,914.8232142857141
01/05/22,776.0454545454548,677.4482142857084,745.9821428571382,805.7142857142817,857.4749999999999
02/05/22,728.3551948051949,635.7749999999942,704.0357142857124,755.0892857142817,804.6107142857143
03/05/22,683.9707792207793,600.25178571428,661.0178571428553,711.7499999999961,756.3910714285714
04/05/22,642.448051948052,565.0714285714229,618.1071428571381,668.4107142857126,712.4089285714285
05/05/22,603.6701298701299,533.7589285714228,578.7321428571381,623.0892857142815,673.901785714283
06/05/22,567.6525974025974,502.46249999999554,542.0357142857094,587.946428571429,637.5214285714259
07/05/22,534.2746753246754,472.02321428571395,506.89285714286194,557.196428571429,602.2928571428544
08/05/22,503.31818181818187,443.7428571428568,476.1964285714304,528.2678571428576,570.5303571428544
09/05/22,474.56688311688316,417.5517857142877,446.5178571428523,498.21428571428174,539.876785714283
10/05/22,447.91753246753245,393.2839285714305,421.3392857142875,470.14285714286285,510.3107142857116
11/05/22,423.66038961038964,370.4678571428591,398.1428571428554,446.41071428572,482.0839285714258
12/05/22,401.00454545454545,349.9071428571448,376.71428571428396,424.0178571428611,456.16607142856867
13/05/22,379.8779220779221,330.5946428571448,356.25000000000034,403.1785714285657,432.93749999999727
14/05/22,360.2922077922078,311.8071428571448,337.6607142857177,382.2321428571485,412.23214285714005
