dates,mean,p2.5,p25,p75,p97.5
01/10/22,3483.079699248121,2631.9857142857145,2991.4285714285716,3908.5,4625.9
02/10/22,3384.2180451127815,2552.75,2898.5714285714284,3800.4285714285716,4475.75
03/10/22,3276.8842105263166,2469.385714285714,2815.3571428571427,3691.1428571428573,4318.571428571428
04/10/22,3168.9744360902255,2404.0142857142855,2725.5714285714284,3576.857142857143,4162.299999999999
05/10/22,3054.703759398497,2325.8357142857144,2635.285714285714,3434.1428571428573,3992.221428571428
06/10/22,2937.751879699249,2245.8285714285716,2540.357142857143,3289.5714285714284,3822.471428571428
07/10/22,2820.2165413533826,2163.135714285714,2434.714285714286,3167.0,3645.614285714286
08/10/22,2705.2781954887223,2077.8500000000004,2329.0,3042.5,3477.171428571428
09/10/22,2591.18947368421,2018.9499999999998,2239.857142857143,2908.4285714285716,3312.607142857143
10/10/22,2482.342857142857,1951.9,2149.1428571428573,2784.285714285714,3151.75
11/10/22,2375.0240601503765,1867.442857142857,2055.785714285714,2650.785714285714,3002.8714285714286
12/10/22,2272.9052631578943,1811.4642857142858,1971.7142857142858,2514.7142857142853,2859.6785714285716
13/10/22,2173.75037593985,1747.3214285714284,1885.0,2399.785714285714,2719.478571428571
14/10/22,2077.8375939849625,1686.0714285714284,1791.7857142857142,2272.8571428571427,2590.478571428571
15/10/22,1981.9368421052632,1625.25,1707.4285714285716,2151.0,2449.271428571428
16/10/22,1890.598496240601,1565.2642857142857,1625.0714285714284,2043.0,2319.2999999999997
17/10/22,1801.9293233082703,1515.7142857142858,1545.142857142857,1937.9285714285716,2196.2857142857138
18/10/22,1715.583458646617,1438.1571428571428,1487.142857142857,1841.9285714285713,2065.357142857142
19/10/22,1632.1924812030077,1365.857142857143,1435.2142857142858,1747.3571428571427,1950.9357142857143
20/10/22,1549.6105263157897,1300.0,1365.3571428571427,1657.857142857143,1845.3142857142857
21/10/22,1471.4646616541359,1231.2857142857142,1317.0,1575.5714285714284,1746.0142857142857
22/10/22,1395.6255639097744,1164.4,1256.0,1493.142857142857,1649.571428571429
23/10/22,1322.2496240601502,1101.0,1204.357142857143,1420.2142857142858,1569.857142857143
24/10/22,1249.563909774436,1037.1857142857143,1140.4285714285713,1341.7857142857142,1483.9
25/10/22,1180.7203007518797,968.5714285714284,1073.357142857143,1269.357142857143,1412.5714285714284
26/10/22,1114.560902255639,912.4357142857143,1020.6428571428571,1198.4285714285713,1338.9571428571428
27/10/22,1051.5789473684208,857.5285714285715,960.2142857142858,1135.857142857143,1262.0214285714287
28/10/22,990.0842105263158,800.5714285714286,893.9285714285713,1067.2142857142858,1193.7785714285712
29/10/22,933.5007518796991,752.5714285714286,834.4285714285714,1008.8571428571429,1133.6785714285713
30/10/22,877.8150375939847,701.4285714285714,793.1428571428571,955.2857142857142,1069.357142857143
