dates,mean,p2.5,p25,p75,p97.5
23/08/21,193.14285714285705,193.14285714285703,193.14285714285703,193.14285714285703,193.14285714285703
24/08/21,199.2743039707895,174.4714285714285,188.5714285714285,209.0714285714285,225.7714285714285
25/08/21,207.37197626654492,169.78571428571422,191.53571428571425,220.78571428571425,253.48571428571424
26/08/21,214.59094020994982,170.26785714285714,194.76785714285714,235.0178571428571,262.3178571428571
27/08/21,225.13852122318573,171.25892857142856,199.57142857142856,250.19642857142856,285.25892857142856
28/08/21,232.72011923779095,177.31071428571428,205.59821428571428,256.9419642857143,305.76696428571427
29/08/21,241.63916305340024,176.07098214285713,209.73660714285714,270.7678571428571,312.3084821428571
30/08/21,247.08008971360107,179.9042410714286,214.82924107142856,277.33705357142856,324.96205357142856
31/08/21,256.2555910543131,183.8,221.0,288.0,349.4
01/09/21,264.60702875399363,186.8,228.0,293.0,357.4
02/09/21,272.1373801916933,196.6,229.0,306.0,369.19999999999993
03/09/21,280.10543130990413,189.8,239.0,318.0,386.4
04/09/21,290.50798722044726,199.0,246.0,327.0,417.59999999999997
05/09/21,300.6517571884984,204.8,250.0,341.0,431.59999999999997
06/09/21,306.72843450479235,203.60000000000002,255.0,353.0,435.4
07/09/21,318.07987220447285,219.8,260.0,364.0,456.2
08/09/21,328.1884984025559,222.79999999999998,269.0,372.0,480.79999999999995
09/09/21,339.7859424920128,224.0,274.0,391.0,498.79999999999995
10/09/21,349.7955271565495,231.6,282.0,408.0,528.5999999999999
11/09/21,357.57507987220447,234.0,284.0,416.0,538.8
12/09/21,369.22683706070285,239.6,290.0,435.0,567.0
13/09/21,380.61341853035145,233.0,294.0,454.0,596.2
14/09/21,392.42492012779553,244.6,298.0,467.0,623.5999999999999
15/09/21,402.3450479233227,246.6,311.0,478.0,631.0
16/09/21,414.5335463258786,254.0,316.0,502.0,682.5999999999999
17/09/21,426.6485623003195,258.8,320.0,519.0,669.0
18/09/21,437.2076677316294,261.0,320.0,526.0,721.9999999999999
19/09/21,452.62939297124603,267.20000000000005,329.0,548.0,746.3999999999999
20/09/21,467.2140575079872,269.0,340.0,580.0,787.3999999999999
21/09/21,478.0159744408946,277.2,346.0,580.0,819.9999999999999
22/09/21,493.75079872204475,275.4,358.0,610.0,826.3999999999999
23/09/21,507.0447284345048,283.0,358.0,625.0,869.9999999999999
24/09/21,523.8626198083067,295.6,372.0,643.0,911.4000000000001
25/09/21,541.4536741214057,296.0,380.0,679.0,952.4
26/09/21,553.8562300319488,304.40000000000003,382.0,686.0,980.8
27/09/21,569.9936102236421,314.6,391.0,710.0,1000.2
28/09/21,588.035143769968,320.8,401.0,733.0,1082.6
29/09/21,606.5143769968051,317.8,404.0,766.0,1133.8
30/09/21,623.629392971246,317.0,405.0,792.0,1144.2
