dates,mean,p2.5,p25,p75,p97.5
11/12/21,397.85714285714306,397.857142857143,397.857142857143,397.857142857143,397.857142857143
12/12/21,399.1081087526831,377.1698214285715,392.65892857142865,407.05535714285725,415.08732142857144
13/12/21,398.42200393512996,368.53508928571426,390.4482142857143,408.78035714285716,420.12142857142857
14/12/21,396.1384137252564,363.45776785714287,387.49151785714287,406.25089285714284,419.3099553571429
15/12/21,393.05082876222275,362.1755580357143,384.71205357142856,402.1897321428571,416.7641741071428
16/12/21,389.3529364416885,361.7888504464286,380.9628348214286,398.42109374999995,411.77565848214283
17/12/21,385.22445165305265,360.1773772321428,378.1415178571428,393.43448660714284,406.6883928571428
18/12/21,380.7601407852373,356.7954631696428,373.77179129464287,388.46679687499994,402.0416936383928
19/12/21,375.7585261149535,352.3292857142857,368.09285714285716,384.45714285714286,397.3
20/12/21,370.20785833532074,345.9078571428572,361.9821428571429,379.48571428571427,392.32857142857137
21/12/21,364.2020987359885,337.00071428571425,356.59642857142853,372.8571428571429,386.3317857142857
22/12/21,357.8695444788934,327.48249999999996,350.48571428571427,367.36785714285713,379.71357142857136
23/12/21,351.15521106606246,318.79285714285714,343.23571428571427,362.0857142857143,374.7317857142857
24/12/21,344.0443596470308,309.45071428571424,334.84642857142853,355.6642857142857,369.12857142857143
25/12/21,336.5778797996661,299.32142857142856,324.3857142857143,349.76071428571424,363.33892857142854
26/12/21,328.58057476746956,289.5753571428571,315.99642857142857,342.6142857142857,357.5285714285714
27/12/21,320.8881349868829,279.7982142857142,307.4,336.7107142857143,350.5135714285714
28/12/21,313.1877772477939,271.7610714285714,298.59642857142853,330.1857142857143,343.8167857142857
29/12/21,305.02018840925354,261.1967857142857,289.275,322.9357142857143,337.6532142857142
30/12/21,296.7720605771524,253.27035714285714,279.68214285714294,315.47857142857146,331.7207142857143
31/12/21,288.4872525637968,243.17214285714286,269.59642857142853,308.02142857142854,325.46285714285705
01/01/22,280.1917839255903,233.62285714285713,261.20714285714286,299.9428571428571,317.1978571428571
02/01/22,272.0827450512759,226.315,253.40714285714284,292.4535714285714,309.47142857142853
03/01/22,263.62885761984256,217.0857142857143,242.39642857142854,284.0642857142857,303.68178571428564
04/01/22,255.327677080849,208.75535714285712,234.07142857142856,276.5357142857143,295.9428571428572
05/01/22,246.85115668972097,200.42214285714286,225.44285714285712,268.25,286.7239285714286
06/01/22,238.773920820415,191.95,217.7785714285714,261.2857142857143,279.6532142857143
07/01/22,230.78331743381827,183.44035714285712,209.6428571428571,253.75,273.88107142857143
08/01/22,222.93968518960168,176.1475,201.91428571428574,245.575,265.76821428571424
09/01/22,215.09265442404006,168.98392857142858,193.95714285714286,237.31071428571425,256.0332142857143
10/01/22,207.46268781302172,162.1225,188.1642857142857,229.95,249.8732142857142
11/01/22,199.84146196041021,152.42000000000002,180.325,221.31071428571425,242.6032142857143
12/01/22,192.74156928213688,145.95785714285714,173.4142857142857,214.02499999999998,233.8792857142857
13/01/22,185.67346768423565,140.16821428571427,166.24285714285713,205.81785714285712,227.00071428571428
14/01/22,178.89187932268064,134.78964285714287,159.40714285714284,199.475,220.40357142857144
15/01/22,172.09730503219654,129.84285714285716,152.3857142857143,192.55357142857144,212.50785714285715
16/01/22,165.6221678988791,124.39750000000001,146.4035714285714,185.29285714285714,206.1375
17/01/22,159.61038635821606,120.64357142857143,139.94285714285712,179.35,199.25714285714287
18/01/22,154.19223706176962,115.64321428571428,135.34642857142856,173.05714285714288,192.75892857142853
19/01/22,149.26044598139757,111.51285714285714,131.06785714285712,167.02499999999998,187.40214285714276
