dates,mean,p2.5,p25,p75,p97.5
04/12/21,377.0,377.0,377.0,377.0,377.0
05/12/21,384.9986550151976,337.1155357142857,358.40535714285716,419.18035714285713,437.72857142857146
06/12/21,389.2848518237082,319.68044642857143,352.13750000000005,441.35,465.3802678571428
07/12/21,391.38401595744676,313.60875,350.675,451.2625,474.91031250000003
08/12/21,391.4342230243161,313.0112723214286,351.5368303571429,452.2578125,476.5892857142857
09/12/21,390.1679331306991,314.47652901785716,352.3072544642857,450.31361607142856,475.60006696428576
10/12/21,388.01386968085103,317.1060546875,352.503125,444.36640624999995,470.8787890625
11/12/21,385.2624489456687,320.2376618303572,352.4469029017857,434.9047712053571,466.6487472098214
12/12/21,381.5829939209726,320.72857142857146,351.325,424.63571428571424,462.9857142857143
13/12/21,377.46665653495444,321.1,348.91071428571433,414.1428571428571,457.6975
14/12/21,372.61082066869307,322.01928571428573,345.38214285714287,401.1892857142857,452.3210714285715
15/12/21,367.47404255319145,321.0025,341.52857142857147,389.86071428571427,449.3403571428571
16/12/21,361.9152583586626,319.7025,338.37142857142857,377.6035714285714,439.2142857142857
17/12/21,355.96430091185414,317.2882142857143,334.1,364.92857142857144,432.44964285714286
18/12/21,349.58521276595746,312.45035714285723,329.45714285714286,355.13214285714287,425.4714285714286
19/12/21,342.6881003039514,305.40250000000003,325.0,346.5892857142857,416.4689285714286
20/12/21,335.52486322188446,297.9739285714286,319.38214285714287,340.22857142857146,405.6
21/12/21,328.0911550151976,289.8907142857143,312.5571428571429,335.02857142857147,396.9689285714286
22/12/21,320.32434650455923,281.72857142857146,304.75714285714287,328.15714285714284,387.78071428571434
23/12/21,312.2588145896657,270.57642857142855,295.4714285714286,321.65714285714284,376.0807142857143
24/12/21,303.9232066869301,262.04285714285714,287.0678571428572,314.04285714285714,363.6378571428571
25/12/21,295.4512765957447,252.7571428571428,278.9428571428572,306.98571428571427,351.74285714285713
26/12/21,287.26858662613984,243.84285714285716,270.2142857142857,301.0892857142857,341.7142857142857
27/12/21,278.87272036474167,233.34535714285715,262.925,294.9142857142857,332.52607142857147
28/12/21,270.39367781155016,223.5025,253.68571428571428,288.6,319.2428571428572
29/12/21,261.91996960486324,214.03107142857147,243.98214285714286,281.9142857142857,306.7117857142857
30/12/21,253.57566869300913,203.91428571428574,235.43928571428575,275.7857142857143,296.5067857142857
31/12/21,245.46904255319149,194.9025,226.8964285714286,268.72857142857146,287.76892857142855
01/01/22,237.21147416413373,185.9,217.51785714285714,261.48571428571427,278.6689285714285
02/01/22,229.22200607902735,177.25964285714286,209.3,254.05714285714285,270.1353571428572
03/01/22,221.04109422492402,169.45964285714285,200.01428571428573,246.11785714285713,261.95464285714286
04/01/22,213.13579027355624,161.28821428571428,192.16785714285714,238.27142857142857,253.78321428571428
05/01/22,205.39150455927054,152.93107142857144,183.9964285714286,230.28571428571428,247.37142857142857
06/01/22,197.68278115501522,145.22857142857143,175.45357142857142,222.90357142857144,239.39499999999998
07/01/22,190.14712765957447,138.34785714285715,167.32857142857145,214.5,233.9117857142857
08/01/22,182.8544832826748,131.94535714285715,160.0857142857143,206.8857142857143,226.57142857142856
09/01/22,175.4093161094225,124.80000000000001,151.68214285714288,199.0857142857143,218.4
10/01/22,168.5505319148936,118.20250000000001,144.67142857142858,191.33214285714286,211.81178571428572
11/01/22,161.73896656534956,111.98571428571428,137.75357142857143,184.22857142857146,205.12607142857144
12/01/22,155.15243161094222,106.13107142857143,131.3,177.6357142857143,198.52857142857144
