dates,mean,p2.5,p25,p75,p97.5
16/02/22,1806.7837837837835,1172.392857142857,1558.071428571429,1973.0,2700.8214285714284
17/02/22,1973.839124839125,1279.2142857142858,1700.9285714285716,2164.642857142857,2933.5
18/02/22,2151.028314028314,1393.8214285714287,1865.7142857142858,2369.5,3174.535714285714
19/02/22,2338.019305019305,1517.7857142857144,2033.5000000000002,2588.285714285714,3430.4285714285716
20/02/22,2534.3011583011585,1648.1071428571431,2212.714285714286,2814.8571428571427,3696.928571428571
21/02/22,2740.150579150579,1785.7142857142858,2388.5714285714284,3041.9999999999995,3970.1785714285716
22/02/22,2955.0411840411834,1931.3928571428573,2568.5714285714284,3278.2142857142853,4251.464285714285
23/02/22,3177.9395109395105,2087.4285714285716,2756.0714285714284,3538.0714285714284,4536.535714285714
24/02/22,3407.8056628056634,2249.107142857143,2952.1428571428573,3804.0714285714284,4823.8214285714275
25/02/22,3644.07722007722,2422.4642857142862,3156.2857142857147,4073.8571428571427,5114.035714285715
26/02/22,3885.5366795366804,2604.7500000000005,3364.214285714286,4346.928571428572,5396.642857142857
27/02/22,4131.114543114543,2795.392857142857,3579.357142857143,4620.285714285715,5683.0
28/02/22,4379.078507078508,2991.25,3800.0,4895.214285714286,5965.678571428571
01/03/22,4628.145431145432,3189.7142857142862,4020.857142857143,5172.5,6256.785714285714
02/03/22,4878.079794079794,3391.0357142857147,4241.357142857143,5449.785714285715,6566.035714285714
03/03/22,5127.613899613901,3590.9285714285716,4464.928571428572,5724.214285714286,6874.321428571428
04/03/22,5375.115830115831,3794.428571428572,4689.642857142857,5991.142857142858,7170.714285714285
05/03/22,5619.758043758044,4001.607142857143,4915.714285714286,6255.642857142858,7453.5
06/03/22,5861.092664092665,4216.607142857143,5142.357142857143,6512.285714285715,7711.535714285715
07/03/22,6098.27413127413,4429.0,5370.214285714286,6762.571428571429,7944.25
08/03/22,6330.512226512226,4640.464285714286,5596.5,7003.928571428572,8165.857142857143
09/03/22,6556.4259974259985,4850.642857142857,5822.0,7240.071428571429,8408.107142857141
10/03/22,6775.831402831403,5058.142857142857,6041.714285714285,7472.5714285714275,8630.750000000002
11/03/22,6988.016731016731,5263.357142857143,6253.214285714285,7690.5714285714275,8862.142857142859
12/03/22,7192.790218790219,5466.428571428572,6458.357142857143,7898.785714285714,9084.785714285714
13/03/22,7389.972972972973,5667.892857142858,6658.571428571428,8095.857142857143,9286.571428571428
14/03/22,7579.571428571429,5866.571428571428,6848.214285714286,8284.92857142857,9474.964285714286
