dates,mean,p2.5,p25,p75,p97.5
06/02/22,212.40718740718742,145.4836401098901,182.34381868131868,234.46346153846153,308.1852472527472
07/02/22,216.90149490149489,146.66722527472527,184.2372252747253,241.53722527472524,316.4695467032967
08/02/22,221.65072765072765,149.11171703296702,186.6043956043956,247.74725274725273,325.58314560439567
09/02/22,226.3756063756064,152.4801510989011,190.64354395604394,255.3239010989011,335.11532967032963
10/02/22,230.8972378972379,154.6505631868132,192.5278846153846,262.04395604395603,343.143956043956
11/02/22,236.00326700326698,157.38063186813187,197.01098901098902,265.4592032967033,346.05063186813186
12/02/22,240.89060489060492,162.3248214285714,201.60357142857143,271.7142857142857,352.05785714285713
13/02/22,245.0521730521731,164.9720604395604,204.33598901098904,276.86813186813185,354.125989010989
14/02/22,248.4815364815365,167.7296703296703,210.04395604395603,279.61717032967033,356.63324175824187
15/02/22,251.65617265617266,168.52425824175825,212.8614010989011,284.38461538461536,355.27943681318675
16/02/22,253.92099792099788,170.0636813186813,217.89010989010987,285.46153846153845,354.1018956043956
17/02/22,255.42401742401742,175.69633241758243,220.27472527472526,287.13186813186815,353.1122252747253
18/02/22,255.50242550242547,176.70364010989013,222.6813186813187,285.25274725274727,345.8109615384616
19/02/22,254.60538560538558,178.63792582417582,222.53846153846155,282.8241758241758,342.5623901098902
20/02/22,253.7805167805168,180.0845467032967,223.56043956043956,280.2247252747253,334.02490384615385
21/02/22,251.995643995644,181.09207417582414,222.95796703296705,276.032967032967,326.5849313186813
22/02/22,248.8865458865459,183.7703296703297,222.31318681318683,273.11318681318676,323.46265109890106
23/02/22,245.2575982575983,182.5335989010989,220.4368131868132,268.5439560439561,321.55163461538467
24/02/22,241.48846648846649,183.1649175824176,218.2967032967033,264.15384615384613,318.0261675824176
25/02/22,237.18146718146716,181.69357142857143,215.53571428571428,257.59999999999997,306.6844642857143
26/02/22,232.23809523809524,179.72339285714284,212.1875,253.41071428571425,298.39625
27/02/22,225.9137709137709,176.9305357142857,207.57142857142858,246.14285714285714,287.4383928571429
28/02/22,219.40540540540542,172.43767857142856,200.47857142857143,239.22142857142853,277.7578571428571
01/03/22,212.1853281853282,166.7760714285714,193.57142857142858,230.41071428571425,266.79178571428565
02/03/22,204.7734877734878,159.69678571428568,186.0,222.71428571428572,255.56696428571428
03/03/22,197.18275418275422,152.37160714285713,176.57142857142858,211.82321428571427,241.61499999999998
04/03/22,189.59845559845562,145.15267857142857,169.6642857142857,204.0,233.12142857142857
05/03/22,181.52767052767052,139.12678571428575,163.56964285714287,196.6910714285714,225.70392857142855
06/03/22,173.67181467181467,134.57017857142858,157.58392857142854,190.4642857142857,219.2967857142857
07/03/22,165.76190476190476,126.30089285714286,149.53392857142856,182.8875,212.8773214285714
08/03/22,158.08236808236808,118.76464285714286,142.30714285714282,174.92499999999998,204.1825
09/03/22,150.47232947232945,109.60464285714286,134.78571428571428,167.14285714285714,195.48767857142855
10/03/22,142.66537966537965,102.71428571428571,126.25535714285715,159.28571428571428,187.09678571428572
11/03/22,135.12612612612614,94.45017857142857,118.24107142857142,151.42857142857142,178.87017857142854
12/03/22,127.91763191763191,88.38785714285714,112.01785714285714,143.1767857142857,170.82017857142856
13/03/22,120.96138996138995,85.00910714285715,105.69642857142856,136.02857142857144,163.26303571428568
14/03/22,114.42342342342343,77.99357142857143,99.88035714285714,129.14285714285714,156.2767857142857
15/03/22,108.19305019305017,73.47339285714284,94.29642857142856,123.23214285714285,149.41375000000002
16/03/22,102.2033462033462,69.09285714285714,89.18928571428572,115.98571428571428,142.23446428571427
17/03/22,96.35778635778637,63.51624999999999,83.78571428571428,107.8125,136.68982142857146
