dates,mean,p2.5,p25,p75,p97.5
16/01/22,68698.35544635545,51826.76948051948,60372.44155844157,74215.9025974026,95751.62337662338
17/01/22,76793.73125073125,59373.454545454544,68057.56493506495,82216.58441558442,105945.75974025975
18/01/22,85811.4419094419,67977.08116883117,76655.93506493507,91162.33116883118,117132.62337662339
19/01/22,95847.93740493739,77749.83116883118,86483.7012987013,101011.05844155845,129404.41883116885
20/01/22,107005.3483093483,88854.77922077922,97587.85064935066,111831.4025974026,142859.0487012987
21/01/22,119390.32128232127,101430.23701298703,109726.4025974026,123819.74675324676,157564.012987013
22/01/22,133121.84134784137,115665.22077922078,123981.72077922079,137040.51948051946,173613.47727272726
23/01/22,148318.54533754534,131676.58116883118,138505.92857142858,151544.51948051946,191091.65584415587
24/01/22,165098.2793962794,148712.63636363635,155182.78571428574,167506.2857142857,210089.9220779221
25/01/22,183587.22206622205,167346.9448051948,174624.4090909091,185634.36363636365,230644.37337662338
26/01/22,203898.97893997893,186791.35714285716,194317.3116883117,206262.1168831169,252808.75974025973
27/01/22,226146.948987949,207366.95454545456,216407.67532467534,230197.3051948052,276654.28571428574
28/01/22,250436.90897390898,229350.83441558445,239438.7987012987,254589.42207792206,302197.9772727273
29/01/22,276848.36960336956,252385.10389610394,264890.1038961039,283642.79220779217,329438.1168831169
30/01/22,305446.0817830818,277360.27272727276,292429.3831168831,313587.8701298701,359389.06493506493
31/01/22,336270.7395577396,304550.71753246756,320489.1818181819,345433.70129870134,390109.00324675324
01/02/22,369332.2877032877,333936.92532467534,352300.30519480514,381861.8051948052,422459.3376623377
02/02/22,404608.63671463676,365503.3506493507,385046.7337662338,420784.98701298697,456355.6915584416
03/02/22,442036.8875628876,399244.41558441555,419378.36363636365,463284.7272727273,491723.1103896104
04/02/22,481505.97765297774,435074.58441558445,455824.0714285715,505915.7857142857,533993.7272727273
05/02/22,522871.042003042,471755.788961039,494198.08441558445,551121.2857142857,581456.6558441557
06/02/22,565945.9617409616,510416.1850649351,533905.142857143,596047.5194805195,631943.8279220778
07/02/22,610504.125073125,550992.3246753247,574271.1233766234,642935.5194805195,683639.4805194807
08/02/22,656273.7847197847,593446.4577922078,616418.9545454544,690260.0,736590.1298701299
09/02/22,702962.7627237627,637558.9090909091,659542.62987013,740105.3701298703,789186.7597402597
10/02/22,750253.4095004095,683213.7662337662,704459.116883117,792675.7532467535,841565.1233766234
11/02/22,797822.1136071138,730182.6168831168,749301.3701298703,845678.9480519479,893229.3409090908
12/02/22,845341.2122382123,774947.9837662338,796153.0454545455,894146.6818181816,946235.6915584416
13/02/22,892482.1366561367,821132.2045454547,844411.7142857143,938282.7532467531,999591.2824675324
14/02/22,938943.7326547327,866763.2110389612,893819.8896103897,980430.5454545454,1051672.3993506492
15/02/22,984457.7814437816,909993.9772727273,939224.2727272728,1025702.5389610389,1102160.237012987
16/02/22,1028773.3092313091,950793.7012987012,986521.9285714286,1064483.1623376624,1150709.6493506494
17/02/22,1071675.9093249093,990418.659090909,1032646.5064935065,1101385.6948051946,1197068.798701299
18/02/22,1112990.9853749855,1028698.318181818,1075151.0779220778,1141258.1363636365,1241085.1266233767
19/02/22,1152584.8908388906,1065519.6753246752,1114661.2077922076,1179378.5,1282153.74025974
20/02/22,1190360.689013689,1100804.1655844154,1154886.2207792208,1219074.7922077922,1320073.0681818181
21/02/22,1226245.4486954487,1134410.8474025973,1190320.9805194805,1249610.1493506494,1354773.8538961038
22/02/22,1260207.99005499,1166299.2175324673,1221843.0714285714,1282868.5779220778,1388856.2207792206
23/02/22,1292242.1057681055,1196425.6720779222,1251645.3051948051,1320761.1363636362,1420405.8409090908
24/02/22,1322369.8564408564,1224710.1623376622,1276266.7337662338,1359602.7142857146,1449533.538961039
25/02/22,1350632.284895285,1251266.3181818181,1297253.9935064935,1395052.2077922078,1476285.698051948
26/02/22,1377075.0858780863,1276127.4350649351,1316643.9155844161,1431172.62987013,1500787.3506493508
27/02/22,1401766.145782146,1299293.5194805195,1333708.6233766237,1465840.6883116884,1523194.6168831168
28/02/22,1424784.9103779108,1320880.3506493508,1352936.422077922,1498537.4220779222,1543663.1136363638
01/03/22,1446205.1805311807,1341095.775974026,1372238.7532467535,1525739.7792207794,1562855.9610389608
02/03/22,1466110.0008190013,1359422.0551948054,1388988.1428571427,1552436.9220779222,1587370.6006493506
03/03/22,1484584.3561483566,1371255.0714285716,1403871.766233766,1577384.0584415584,1617738.2662337662
04/03/22,1501707.4746694746,1380017.6818181819,1414087.4415584416,1596779.3311688313,1646418.525974026
05/03/22,1517568.2652392653,1387924.8636363635,1425348.6363636362,1611182.38961039,1673417.6720779222
06/03/22,1532244.61939862,1395077.7792207792,1433198.5974025973,1623658.5000000005,1698820.37987013
07/03/22,1545814.1065871068,1401546.8344155843,1441983.5974025973,1635009.694805195,1722685.012987013
