dates,mean,p2.5,p25,p75,p97.5
06/02/22,44315.52778752778,37021.38636363636,40436.753246753244,49089.66233766234,50247.78896103896
07/02/22,42902.60009360011,34562.538961038954,38623.545454545456,47509.5974025974,49918.178571428565
08/02/22,41315.07605007605,32130.704545454544,36409.64935064934,45881.05194805194,49483.957792207795
09/02/22,39593.90546390547,29816.17532467532,34773.56493506493,44088.27272727272,48832.74350649351
10/02/22,37775.798174798176,27508.509740259742,32766.49350649351,42344.97402597403,48005.431818181816
11/02/22,35884.759681759686,25075.623376623374,31157.67532467532,40419.40909090909,46925.678571428565
12/02/22,33962.54135954136,22724.506493506495,29251.837662337664,38362.11038961039,45663.94155844156
13/02/22,32034.11571311571,20537.477272727272,27189.05844155844,36306.9025974026,44264.57792207792
14/02/22,30127.75067275067,18434.63636363636,25164.805194805194,34471.01948051948,42767.71753246753
15/02/22,28262.428454428456,16503.123376623378,23246.532467532466,32548.64935064935,41123.441558441555
16/02/22,26442.800982800978,14769.207792207793,21379.772727272728,30577.64285714286,39405.23701298702
17/02/22,24691.05990405991,13211.98051948052,19625.090909090908,28781.597402597403,37692.2012987013
18/02/22,23018.7645957646,11852.503246753247,18038.47402597403,27027.642857142855,35933.46103896104
19/02/22,21420.270153270158,10654.805194805194,16519.7012987013,25314.66233766234,34194.019480519484
20/02/22,19904.82028782029,9563.587662337663,15138.441558441558,23641.2987012987,32432.34090909091
21/02/22,18474.355329355327,8597.379870129871,13842.032467532466,21984.9025974026,30681.522727272724
22/02/22,17123.118521118526,7742.714285714286,12663.746753246753,20533.214285714286,28994.279220779223
23/02/22,15860.790569790566,6989.373376623376,11572.66883116883,19172.12987012987,27320.56818181818
24/02/22,14676.35415935416,6310.899350649351,10565.876623376624,17852.915584415583,25722.91233766234
25/02/22,13569.487188487188,5701.918831168832,9642.435064935064,16634.168831168834,24193.93181818182
26/02/22,12534.653679653682,5132.681818181818,8778.14935064935,15499.753246753244,22652.72402597403
27/02/22,11572.54252954253,4628.792207792208,7996.5,14408.974025974025,21240.133116883117
28/02/22,10676.709956709956,4199.136363636364,7280.720779220778,13388.753246753247,19864.7987012987
01/03/22,9844.163566163565,3804.3831168831166,6640.162337662337,12400.272727272728,18552.795454545456
02/03/22,9072.284427284429,3440.3571428571427,6038.74025974026,11500.24025974026,17319.76948051948
03/03/22,8355.463788463787,3111.590909090909,5488.123376623376,10681.305194805194,16124.243506493507
04/03/22,7689.558909558908,2806.711038961039,4978.428571428571,9893.551948051947,14983.873376623378
05/03/22,7072.572247572248,2546.7045454545455,4528.623376623376,9142.746753246753,13944.762987012986
06/03/22,6500.931554931556,2297.9545454545455,4110.136363636364,8460.584415584417,12940.05844155844
07/03/22,5971.266292266293,2061.5941558441555,3723.6688311688313,7819.376623376624,12028.574675324675
08/03/22,5484.458406458408,1862.7012987012986,3366.3766233766232,7205.818181818182,11147.870129870129
09/03/22,5031.547911547914,1679.8409090909092,3044.3506493506493,6623.87012987013,10341.474025974027
10/03/22,4616.643968643969,1512.1103896103896,2760.3376623376626,6115.2077922077915,9560.775974025973
11/03/22,4231.616122616124,1366.7240259740258,2497.3896103896104,5611.428571428571,8862.941558441558
12/03/22,3877.514566514567,1231.1623376623374,2254.909090909091,5179.097402597403,8198.487012987014
13/03/22,3551.279396279396,1105.8766233766232,2036.6363636363637,4764.051948051947,7577.688311688312
14/03/22,3252.4505674505667,991.8896103896104,1839.5324675324675,4369.831168831169,7010.902597402597
15/03/22,2974.5944775944777,886.525974025974,1666.9285714285716,4018.1493506493507,6474.305194805195
16/03/22,2719.0522990522995,793.801948051948,1502.8766233766235,3686.5974025974024,5976.863636363636
17/03/22,2483.1757341757334,707.3214285714286,1350.5324675324673,3362.6688311688313,5525.892857142857
