dates,mean,p2.5,p25,p75,p97.5
03/01/22,10978.759907834103,5342.229642857143,11381.535714285714,11880.246428571427,16656.86142857143
04/01/22,10371.477880184331,5077.729285714287,10736.742857142857,11219.860714285714,15587.382499999998
05/01/22,9867.43905529954,4852.565,10187.692857142856,10646.207142857142,14651.680000000002
06/01/22,9494.097119815666,4722.375714285714,9731.296428571428,10239.624999999998,13922.58
07/01/22,9295.024078341014,4697.870714285715,9473.857142857141,10012.1,13501.796071428573
08/01/22,9326.677073732719,4834.912857142856,9376.53214285714,10076.639285714286,13389.452857142858
09/01/22,9673.15944700461,5134.9907142857155,9601.114285714286,10526.139285714286,13703.367499999997
10/01/22,10469.631451612902,5721.669285714285,10295.482142857141,11503.971428571429,14637.046071428567
11/01/22,11913.139400921658,6675.531428571429,11458.085714285715,13287.992857142857,16451.98464285714
12/01/22,14320.894354838707,8160.271071428571,13466.075,16184.425000000001,19628.150714285708
13/01/22,18212.26347926267,10477.843571428572,16729.39642857143,20801.4,24770.409642857136
14/01/22,24396.736290322577,13934.798571428571,22094.75357142857,28194.603571428568,32943.16773809523
15/01/22,33353.94665898618,19153.69535714286,30498.90119047619,38383.933333333334,44679.659523809525
16/01/22,47262.667165898616,26843.664999999997,42230.94761904761,54962.25476190476,64737.15464285713
17/01/22,70235.03970814132,35625.977619047626,61718.25476190476,83066.18690476191,100041.26714285713
18/01/22,107953.38321812596,48379.412261904756,95096.43214285714,131477.71309523808,154629.1564285714
19/01/22,137892.65564516126,67016.24845238095,152596.08333333334,153104.85714285716,154397.91821428572
20/01/22,146987.01056067587,94379.28892857142,152717.98571428572,152864.19285714286,154049.05642857144
21/01/22,151634.53352534564,133731.7016666667,152493.08928571426,152632.97857142857,153729.3314285714
22/01/22,152244.94930875575,151039.56999999998,152286.88928571428,152418.3357142857,153452.0207142857
23/01/22,152061.48894009218,150952.4067857143,152100.63571428572,152215.26071428572,153186.66964285716
24/01/22,151891.80334101382,150870.18250000002,151926.03214285715,152032.4857142857,152933.6382142857
25/01/22,151735.73375576042,150793.44642857142,151763.325,151865.33928571426,152697.08214285714
26/01/22,151591.4532258064,150728.5592857143,151621.12142857144,151709.13571428572,152483.2635714286
27/01/22,151458.81094470044,150666.19607142857,151478.28928571427,151565.76785714287,152285.5117857143
28/01/22,151336.9185483871,150609.26035714286,151352.3714285714,151438.76428571428,152094.72964285716
29/01/22,151224.73410138246,150551.97642857142,151238.3357142857,151317.4642857143,151920.51321428572
30/01/22,151121.51705069127,150504.42785714287,151134.30714285714,151208.2857142857,151763.18785714285
31/01/22,151026.61739631338,150459.53464285715,151041.55357142858,151104.7,151618.24535714288
01/02/22,150938.8884792627,150417.89928571432,150953.40000000002,151008.09285714285,151475.94714285713
02/02/22,150858.8911290323,150381.9657142857,150870.36071428572,150922.08214285714,151359.60035714286
03/02/22,150784.9220046083,150348.19428571427,150798.05357142858,150844.24642857144,151242.8132142857
04/02/22,150717.13663594468,150315.69285714286,150728.49642857144,150771.0,151144.5332142857
05/02/22,150654.97223502304,150286.47250000003,150663.675,150703.86428571428,151047.29321428572
06/02/22,137479.8114439324,114851.48452380953,127318.00476190477,150270.92142857143,150658.49535714285
07/02/22,113878.29838709677,88842.70083333332,97817.22738095238,137187.2357142857,150570.00785714286
08/02/22,91646.58056835638,70053.13976190476,76671.84166666667,107636.1130952381,150519.17035714287
09/02/22,72543.11678187404,56327.86047619047,61123.292857142864,78661.25833333333,132151.29809523807
10/02/22,57044.76662826421,45990.83488095238,49607.07142857142,56585.36190476191,95241.44869047619
11/02/22,45602.22019969279,38138.55321428571,40364.373809523815,46234.13333333334,72258.45476190478
