dates,mean,p2.5,p25,p75,p97.5
03/01/22,10634.888940092165,5099.298571428571,10998.407142857144,11520.764285714286,16094.340357142855
04/01/22,9885.114976958526,4743.458214285714,10198.057142857142,10705.621428571427,14905.353214285715
05/01/22,9180.177534562214,4409.345357142856,9458.471428571429,9956.621428571429,13797.439642857142
06/01/22,8523.68698156682,4101.712857142857,8778.971428571429,9234.342857142856,12775.587857142857
07/01/22,7919.727995391705,3829.5867857142853,8156.725,8569.132142857143,11848.021785714285
08/01/22,7374.627534562212,3578.657857142857,7601.45357142857,7977.875,11010.986785714284
09/01/22,6893.8668202764975,3361.5735714285715,7102.171428571428,7444.135714285714,10255.403928571428
10/01/22,6485.057718894009,3180.4410714285714,6683.560714285714,6991.510714285715,9645.099642857142
11/01/22,6158.709677419354,3039.529642857143,6328.15,6643.8607142857145,9129.223928571428
12/01/22,5932.764170506912,2962.0653571428575,6054.560714285714,6386.592857142857,8733.001785714285
13/01/22,5831.7554147465435,2977.449285714286,5890.753571428571,6254.242857142857,8509.929642857142
14/01/22,5895.698271889401,3083.3596428571427,5861.182142857143,6362.1392857142855,8468.648571428572
15/01/22,6178.590668202764,3332.6596428571434,6090.946428571428,6724.846428571428,8713.929642857142
16/01/22,6760.879723502303,3737.7982142857136,6592.0142857142855,7441.989285714286,9385.893571428569
17/01/22,7780.463479262672,4393.410357142857,7473.135714285714,8686.485714285714,10626.095714285711
18/01/22,9430.784907834099,5464.856071428571,8835.575,10685.335714285715,12777.745714285711
19/01/22,12030.805990783409,7044.743214285714,11052.67857142857,13754.575,16257.020357142854
20/01/22,16100.031682027651,9446.2525,14516.307142857142,18518.210714285713,21650.114999999994
21/01/22,22447.746082949314,12960.215357142857,20062.557142857142,26169.099999999995,30074.793809523806
22/01/22,31556.04377880184,18229.30642857143,28618.04404761905,36519.81190476191,42030.59880952381
23/01/22,45604.97914746544,25528.426785714284,40494.11190476191,53237.31904761904,62290.3157142857
24/01/22,68704.81505376345,34415.611190476186,60111.27976190476,81475.80476190476,97766.44214285712
25/01/22,106541.74566052227,47269.07297619048,93617.71785714285,130002.8880952381,152627.9007142857
26/01/22,136590.13698156681,65931.33773809524,151228.16904761904,151700.1607142857,152483.2635714286
27/01/22,145785.4315284178,93376.76785714286,151478.28928571427,151565.76785714287,152285.5117857143
28/01/22,150527.26129032258,132800.93166666667,151352.3714285714,151438.76428571428,152094.72964285716
29/01/22,151224.73410138246,150551.97642857142,151238.3357142857,151317.4642857143,151920.51321428572
30/01/22,151121.51705069127,150504.42785714287,151134.30714285714,151208.2857142857,151763.18785714285
31/01/22,151026.61739631338,150459.53464285715,151041.55357142858,151104.7,151618.24535714288
01/02/22,150938.8884792627,150417.89928571432,150953.40000000002,151008.09285714285,151475.94714285713
02/02/22,150858.8911290323,150381.9657142857,150870.36071428572,150922.08214285714,151359.60035714286
03/02/22,150784.9220046083,150348.19428571427,150798.05357142858,150844.24642857144,151242.8132142857
04/02/22,150717.13663594468,150315.69285714286,150728.49642857144,150771.0,151144.5332142857
05/02/22,150654.97223502304,150286.47250000003,150663.675,150703.86428571428,151047.29321428572
06/02/22,150597.69642857148,150260.2475,150605.53214285715,150642.84285714285,150958.7132142857
07/02/22,150545.22523041474,150236.00714285715,150550.7214285714,150588.82142857142,150878.48392857143
08/02/22,150497.80944700458,150213.63392857142,150503.5,150538.2357142857,150803.255
09/02/22,150454.19781105986,150195.3125,150459.0392857143,150489.61071428572,150739.20214285716
10/02/22,150414.26451612904,150178.1375,150418.3714285714,150445.6857142857,150669.2767857143
11/02/22,150377.5360599078,150162.07464285716,150380.9035714286,150407.69285714283,150613.4085714286
