dates,mean,p2.5,p25,p75,p97.5
03/01/22,10732.119354838707,5173.848571428571,11096.607142857143,11605.328571428572,16256.22607142857
04/01/22,10026.182949308755,4842.9464285714275,10362.87857142857,10858.410714285716,15134.053214285716
05/01/22,9381.145276497698,4542.377142857143,9685.989285714286,10144.389285714284,14130.961785714286
06/01/22,8808.825230414748,4285.638214285715,9090.464285714286,9527.135714285714,13158.341428571426
07/01/22,8321.490668202765,4085.9092857142855,8577.610714285714,8979.55,12311.331785714285
08/01/22,7939.642511520737,3940.7871428571434,8154.099999999999,8569.785714285714,11706.66
09/01/22,7690.590322580645,3858.2092857142857,7828.885714285714,8277.496428571427,11251.906785714284
10/01/22,7613.7132488479265,3899.301785714286,7681.892857142856,8192.792857142857,11034.688928571428
11/01/22,7765.464285714286,4102.681071428572,7730.599999999999,8412.29642857143,11089.898928571427
12/01/22,8225.76301843318,4455.180714285713,8111.921428571429,8979.417857142857,11564.805357142855
13/01/22,9131.057258064515,5071.6875,8887.25357142857,10096.767857142859,12644.526071428569
14/01/22,10676.594585253455,6071.573214285713,10137.753571428571,11980.07857142857,14600.944999999994
15/01/22,13179.686290322581,7618.970357142857,12255.853571428572,14986.325,17940.514285714282
16/01/22,17158.818663594466,9975.902142857143,15622.971428571427,19672.53214285714,23202.98321428571
17/01/22,23425.583294930875,13457.835714285713,21082.850000000002,27186.78214285714,31511.33559523809
18/01/22,32458.46578341014,18706.938214285714,29561.194047619047,37460.094047619044,43360.06952380952
19/01/22,46437.4620967742,26203.24107142857,41367.5119047619,54097.97619047618,63534.64178571428
20/01/22,69473.40168970816,35025.41154761904,60919.28333333333,82263.75833333333,98918.50071428569
21/01/22,107250.20268817205,47827.22369047619,94366.41428571429,130741.8380952381,153640.22285714286
22/01/22,137243.6330645161,66472.64773809524,151918.4011904762,152402.5357142857,153452.0207142857
23/01/22,146388.10952380954,93882.17392857141,152100.63571428572,152215.26071428572,153186.66964285716
24/01/22,151082.1460829493,133275.82023809524,151926.03214285715,152032.4857142857,152933.6382142857
25/01/22,151735.73375576042,150793.44642857142,151763.325,151865.33928571426,152697.08214285714
26/01/22,151591.4532258064,150728.5592857143,151621.12142857144,151709.13571428572,152483.2635714286
27/01/22,151458.81094470044,150666.19607142857,151478.28928571427,151565.76785714287,152285.5117857143
28/01/22,151336.9185483871,150609.26035714286,151352.3714285714,151438.76428571428,152094.72964285716
29/01/22,151224.73410138246,150551.97642857142,151238.3357142857,151317.4642857143,151920.51321428572
30/01/22,151121.51705069127,150504.42785714287,151134.30714285714,151208.2857142857,151763.18785714285
31/01/22,151026.61739631338,150459.53464285715,151041.55357142858,151104.7,151618.24535714288
01/02/22,150938.8884792627,150417.89928571432,150953.40000000002,151008.09285714285,151475.94714285713
02/02/22,150858.8911290323,150381.9657142857,150870.36071428572,150922.08214285714,151359.60035714286
03/02/22,150784.9220046083,150348.19428571427,150798.05357142858,150844.24642857144,151242.8132142857
04/02/22,150717.13663594468,150315.69285714286,150728.49642857144,150771.0,151144.5332142857
05/02/22,150654.97223502304,150286.47250000003,150663.675,150703.86428571428,151047.29321428572
06/02/22,150597.69642857148,150260.2475,150605.53214285715,150642.84285714285,150958.7132142857
07/02/22,150545.22523041474,150236.00714285715,150550.7214285714,150588.82142857142,150878.48392857143
08/02/22,150497.80944700458,150213.63392857142,150503.5,150538.2357142857,150803.255
09/02/22,137336.3128264209,114704.40809523809,127166.79404761906,150202.13928571428,150501.9085714286
10/02/22,113747.33767281106,88704.28726190476,97685.43809523809,136992.51071428572,150439.6525
11/02/22,91526.30718125962,69924.9886904762,76547.21785714285,107514.14166666668,150401.92821428573
