dates,mean,p2.5,p25,p75,p97.5
03/01/22,10831.3866359447,5153.6,11123.514285714286,11698.271428571428,16444.957142857143
04/01/22,10163.036635944702,4793.085714285714,10320.599999999999,11035.114285714286,15437.228571428572
05/01/22,9572.898403554971,4457.757142857143,9586.142857142859,10495.685714285713,14352.171428571428
06/01/22,9078.207060566161,4151.528571428571,8889.342857142856,10097.771428571428,13286.92857142857
07/01/22,8705.611471362738,3849.6285714285714,8262.2,9902.442857142856,12306.05714285714
08/01/22,8490.084414088216,3602.4428571428575,7699.771428571427,9953.857142857143,11408.557142857142
09/01/22,8482.034035549703,3378.7285714285717,7227.057142857144,10327.471428571429,11150.385714285714
10/01/22,8761.956994733377,3209.0,6797.428571428571,11194.5,12300.542857142857
11/01/22,9446.955233706385,3078.8142857142857,6513.871428571429,12800.814285714285,14316.814285714285
12/01/22,10725.550872284395,3004.2714285714283,6291.0428571428565,15306.157142857142,17511.6
13/01/22,12855.251267281106,3014.914285714286,6193.057142857142,19365.27142857143,22836.15107142857
14/01/22,15999.126119157343,3166.7571428571428,6258.571428571429,25211.585714285713,31132.703333333324
15/01/22,20478.46775839368,3469.557142857143,6582.942857142857,32426.247619047623,42752.052619047616
16/01/22,27411.064132104453,3974.2428571428572,7239.614285714286,44335.95476190476,62201.7813095238
17/01/22,37285.512140662715,4804.057142857143,8403.657142857142,53704.45714285714,95614.11250000002
18/01/22,49729.232653061226,6050.3,10311.6,65180.704761904766,153235.09000000003
19/01/22,59638.74185867895,7959.585714285715,13262.599999999999,94308.41428571427,153156.70607142858
20/01/22,63916.587925170075,10430.185714285713,17910.72142857143,136662.96666666667,152910.36285714287
21/01/22,67700.16328176433,13678.17142857143,23617.17142857143,151173.44285714286,152676.18321428573
22/01/22,71449.03296576695,18547.157142857144,32122.835714285713,152030.75714285715,152458.67642857143
23/01/22,76969.09524358131,26062.066666666666,46129.34285714285,151878.61428571428,152252.90357142856
24/01/22,84733.01014373492,36001.73333333333,51948.6,151745.92857142858,152067.79607142857
25/01/22,95854.93381610708,50779.41428571429,51835.71428571428,151758.58571428573,151913.92178571428
26/01/22,104446.92508229098,50736.91428571429,51687.92857142857,151665.4,151793.64285714287
27/01/22,106980.7025400483,50676.05714285714,51544.71428571428,151538.84285714285,151642.35714285713
28/01/22,108248.44504608297,50617.485714285714,51418.014285714286,151412.77142857143,151507.35714285713
29/01/22,108367.59124423964,50560.37142857143,51298.5,151293.35714285713,151379.3142857143
30/01/22,108264.3741935484,50513.399999999994,51188.22857142857,151185.8,151264.35714285713
31/01/22,108169.47453917051,50465.7,51089.25714285714,151085.35714285713,151150.11428571428
01/02/22,108081.74562211982,50426.885714285716,50995.05714285714,150992.11428571428,151049.64285714287
02/02/22,108001.7482718894,50387.4,50909.45714285714,150907.58571428573,150956.2857142857
03/02/22,107927.77914746545,50351.58571428571,50830.44285714286,150826.14285714287,150870.65714285715
04/02/22,107859.99377880184,50318.81428571429,50759.642857142855,150757.17142857143,150797.57142857142
05/02/22,107797.82937788019,50290.34285714286,50691.72857142857,150691.0285714286,150727.25714285715
06/02/22,103992.58643296028,50263.21428571428,50631.08571428571,150611.17142857143,150659.43285714285
07/02/22,97211.81756089533,50238.95714285714,50573.94285714286,150546.22857142857,150598.14142857143
08/02/22,90826.02976739084,50216.171428571426,50524.41428571429,150497.72857142857,150547.06785714286
09/02/22,84847.67446785166,46359.35702380952,50468.18214285714,150451.7,150498.6307142857
10/02/22,78688.65068027213,38588.367261904765,48519.34761904762,150407.64285714287,150455.075
11/02/22,73530.59347158218,31339.563928571428,38143.55714285714,150372.41428571427,150415.3067857143
