dates,mean,p2.5,p25,p75,p97.5
04/12/21,23801.441536614646,20417.149999999998,22182.857142857145,26025.35714285714,26264.842857142856
05/12/21,23813.10924369748,20366.65,22094.071428571428,26120.357142857145,26531.185714285715
06/12/21,23765.370708283313,20266.707142857143,21975.071428571428,26016.571428571428,26798.821428571428
07/12/21,23663.18055222089,20135.235714285718,21779.357142857145,25845.428571428572,27025.97142857143
08/12/21,23501.29219687875,19948.4,21527.214285714286,25606.214285714283,27224.0
09/12/21,23287.84225690276,19726.864285714284,21220.5,25291.142857142855,27352.235714285714
10/12/21,23021.975510204084,19462.57857142857,20869.0,24910.857142857145,27428.300000000003
11/12/21,22708.805762304924,19166.31428571429,20464.5,24465.142857142855,27449.307142857142
12/12/21,22351.428571428572,18812.307142857142,20006.571428571428,23997.35714285714,27423.964285714283
13/12/21,21954.66818727491,18439.12142857143,19457.571428571428,23629.0,27347.84285714286
14/12/21,21517.975510204084,18025.77142857143,18838.785714285717,23299.285714285714,27218.0
15/12/21,21052.732292917168,17603.485714285714,18196.357142857145,22963.64285714286,27022.67142857143
16/12/21,20558.91644657863,17145.02857142857,17525.785714285714,22581.071428571428,26804.092857142856
17/12/21,20042.018727490995,16565.092857142856,16955.5,22190.071428571428,26520.492857142857
18/12/21,19504.418007202883,15871.835714285715,16419.785714285714,21750.357142857145,26181.064285714285
19/12/21,18951.19399759904,15208.121428571429,15912.57142857143,21294.857142857145,25797.90714285714
20/12/21,18387.059783913566,14521.3,15375.571428571428,20789.642857142855,25384.235714285714
21/12/21,17815.302280912365,13871.978571428572,14855.357142857143,20286.0,24928.428571428572
22/12/21,17235.361344537814,13251.142857142857,14336.714285714286,19748.785714285714,24443.207142857143
23/12/21,16653.259543817527,12641.67142857143,13806.42857142857,19221.0,23922.54285714286
24/12/21,16070.323889555822,12046.357142857143,13288.571428571428,18663.785714285714,23390.678571428572
25/12/21,15488.47274909964,11478.978571428572,12781.071428571428,18101.785714285714,22817.757142857143
26/12/21,14910.99087635054,10915.914285714285,12266.5,17537.714285714283,22227.15
27/12/21,14338.98319327731,10378.585714285715,11756.642857142857,16959.357142857145,21647.535714285714
28/12/21,13772.923889555823,9841.707142857142,11264.642857142859,16382.785714285714,21026.18571428571
29/12/21,13217.251860744296,9387.17857142857,10772.142857142857,15804.928571428572,20416.985714285714
30/12/21,12670.266026410563,8903.142857142857,10286.857142857143,15236.571428571428,19779.35
31/12/21,12133.762785114046,8453.492857142857,9820.92857142857,14658.142857142859,19143.22857142857
01/01/22,11611.346698679472,7995.542857142857,9373.714285714286,14094.642857142857,18522.535714285714
02/01/22,11101.643457382954,7569.314285714287,8930.5,13536.92857142857,17880.885714285716
03/01/22,10604.52893157263,7168.385714285714,8510.285714285714,12984.5,17250.307142857142
04/01/22,10123.441056422569,6803.678571428572,8082.642857142857,12430.428571428572,16614.235714285714
05/01/22,9654.570948379353,6439.242857142857,7685.5,11896.714285714286,15986.857142857141
06/01/22,9201.179591836735,6091.414285714285,7300.214285714286,11378.142857142859,15374.557142857144
07/01/22,8764.056182472988,5769.357142857143,6929.428571428572,10878.857142857141,14770.142857142857
08/01/22,8340.476350540215,5451.464285714286,6567.857142857143,10406.0,14186.414285714285
09/01/22,7932.394237695079,5146.635714285714,6212.142857142857,9923.5,13606.207142857143
10/01/22,7539.590396158463,4853.192857142857,5885.642857142857,9474.5,13032.592857142858
11/01/22,7160.675390156061,4576.0142857142855,5575.0,9024.928571428572,12485.721428571429
12/01/22,6798.294597839135,4307.507142857143,5274.571428571428,8596.785714285714,11958.114285714286
