dates,mean,p2.5,p25,p75,p97.5
21/11/21,20335.103082532318,17815.664285714287,18991.10714285714,21681.964285714286,22509.521428571425
22/11/21,20938.69191249586,18258.628571428573,19404.535714285714,22496.821428571428,23426.239285714284
23/11/21,21505.59512761021,18665.914285714287,19787.67857142857,23188.678571428572,24331.807142857142
24/11/21,22031.64550878356,19037.892857142855,20234.821428571428,23757.285714285714,25244.35
25/11/21,22514.107225720916,19362.225,20589.25,24294.071428571428,26124.59285714286
26/11/21,22947.865760689427,19657.89642857143,20597.928571428572,24783.357142857145,27029.975
27/11/21,23327.632416307588,19900.360714285714,20455.392857142855,25192.285714285717,27940.946428571428
28/11/21,23651.127444481273,20049.15,20292.214285714283,25529.0,28816.239285714284
29/11/21,23915.329134902222,19893.84642857143,20286.678571428572,25804.035714285717,29683.664285714287
30/11/21,24122.57109711634,19522.22857142857,20388.392857142855,26003.39285714286,30508.03214285714
01/12/21,24267.040437520718,19072.9,20438.392857142855,26189.535714285717,31322.860714285714
02/12/21,24346.646171693734,18560.989285714284,20450.07142857143,26430.0,32041.0
03/12/21,24364.726052369904,18016.025,20415.214285714283,26701.571428571428,32715.060714285715
04/12/21,24318.947961551214,17460.34642857143,20345.285714285717,26910.14285714286,33280.63214285715
05/12/21,24211.71958899569,16823.532142857144,20225.0,27067.178571428572,33792.06071428572
06/12/21,24043.533642691415,16169.57857142857,20039.03571428571,27162.39285714286,34240.99285714286
07/12/21,23818.021213125623,15510.932142857142,19829.321428571428,27168.964285714286,34574.43214285714
08/12/21,23538.559496188263,14846.932142857142,19578.321428571428,27122.964285714283,34819.31785714286
09/12/21,23210.493536625785,14194.982142857143,19299.214285714286,27014.285714285714,35010.63214285714
10/12/21,22834.349519390125,13539.614285714286,18972.035714285714,26832.60714285714,35113.74285714286
11/12/21,22413.617666556183,12881.742857142857,18609.964285714286,26595.821428571428,35105.56428571428
12/12/21,21955.64633742128,12237.042857142857,18227.821428571428,26305.392857142855,34992.92857142857
13/12/21,21465.358965860127,11607.907142857142,17820.321428571428,25978.857142857145,34852.43214285714
14/12/21,20945.420285051372,11011.92142857143,17305.642857142855,25597.75,34589.375
15/12/21,20400.224395094465,10429.110714285714,16762.964285714283,25141.035714285717,34251.671428571426
16/12/21,19831.916804772954,9870.896428571428,16109.107142857145,24674.071428571428,33854.58928571428
17/12/21,19247.62313556513,9314.007142857143,15422.107142857143,24153.535714285714,33385.07142857143
18/12/21,18651.977461054026,8794.771428571428,14735.5,23608.214285714286,32857.88928571428
19/12/21,18045.669373549885,8288.2,14087.821428571428,23012.321428571428,32248.40714285714
20/12/21,17431.59595624793,7810.607142857143,13434.107142857145,22409.285714285714,31590.603571428575
21/12/21,16814.252900232015,7355.328571428571,12823.464285714286,21765.39285714286,30887.557142857142
22/12/21,16196.840570102753,6905.5142857142855,12221.32142857143,21114.07142857143,30130.603571428568
23/12/21,15583.007623467021,6496.921428571428,11638.92857142857,20461.25,29378.5
24/12/21,14973.68362611866,6115.6392857142855,11084.964285714286,19784.785714285714,28561.74642857143
25/12/21,14373.260357971494,5739.153571428571,10542.857142857143,19116.392857142855,27744.678571428572
26/12/21,13781.04060324826,5392.125,10012.214285714286,18445.285714285714,26876.550000000003
27/12/21,13200.864269141532,5057.453571428572,9509.82142857143,17770.714285714286,26009.457142857143
28/12/21,12632.528173682467,4757.092857142858,9030.464285714286,17114.071428571428,25132.482142857145
29/12/21,12078.143188597945,4460.675,8570.57142857143,16438.821428571428,24303.59642857143
30/12/21,11537.293337752735,4176.057142857143,8125.071428571428,15791.42857142857,23464.25357142857
