dates,mean,p2.5,p25,p75,p97.5
06/02/22,17323.383526383528,12236.000000000004,14844.428571428572,19419.428571428572,23637.14285714286
07/02/22,17945.85714285714,12613.714285714288,15313.214285714288,20193.5,24351.21428571429
08/02/22,18568.2277992278,13027.357142857145,15802.785714285717,20943.285714285714,25095.642857142855
09/02/22,19176.400257400255,13487.714285714286,16296.428571428572,21670.714285714286,25755.464285714286
10/02/22,19760.218790218787,13957.964285714284,16798.357142857145,22352.357142857145,26672.214285714283
11/02/22,20307.37837837838,14442.285714285714,17286.0,22989.785714285717,27471.0
12/02/22,20805.848133848132,14930.857142857145,17754.714285714286,23564.357142857145,28141.964285714283
13/02/22,21244.97297297297,15429.82142857143,18193.0,24069.000000000007,28663.53571428571
14/02/22,21615.756756756753,15908.607142857143,18568.42857142857,24480.142857142862,28980.607142857138
15/02/22,21906.19691119691,16380.428571428569,18909.5,24747.28571428571,29158.999999999996
16/02/22,22113.4658944659,16850.75,19225.142857142855,24945.642857142855,29154.321428571428
17/02/22,22230.244530244523,17281.714285714283,19505.85714285714,24979.92857142857,29033.75
18/02/22,22252.527670527666,17661.892857142855,19710.928571428572,24837.5,28665.142857142855
19/02/22,22180.261261261257,17996.642857142855,19848.785714285717,24554.428571428572,28160.214285714283
20/02/22,22013.925353925355,18263.285714285714,19803.571428571428,24169.5,27502.071428571424
21/02/22,21757.523809523806,18482.214285714286,19698.5,23860.71428571429,26792.21428571428
22/02/22,21419.110682110684,18643.214285714283,19596.5,23364.21428571429,25881.285714285714
23/02/22,21004.47104247104,18743.0,19501.071428571428,22935.78571428571,24852.85714285714
24/02/22,20519.235521235525,18608.17857142857,19300.285714285714,22251.857142857138,23731.285714285714
25/02/22,19975.474903474907,18170.499999999996,18816.357142857138,21482.928571428576,22657.85714285715
26/02/22,19374.27027027027,17527.071428571428,18454.785714285714,20656.142857142862,21813.5
27/02/22,18719.57915057915,16603.0,17898.5,19623.71428571428,20950.428571428576
28/02/22,18019.195624195625,15549.071428571428,17287.642857142855,18587.64285714286,20171.464285714283
01/03/22,17283.912483912478,14508.785714285712,16638.642857142855,17924.714285714283,19368.821428571428
02/03/22,16523.1879021879,13506.964285714286,15937.499999999996,17383.0,18534.857142857138
03/03/22,15747.113256113253,12560.321428571428,15134.428571428569,16711.78571428571,17666.78571428571
04/03/22,14963.088803088802,11655.17857142857,14297.071428571428,16132.14285714286,16821.464285714283
05/03/22,14178.223938223937,10798.714285714286,13394.285714285714,15381.78571428572,16234.67857142857
06/03/22,13401.196911196914,9994.392857142859,12695.571428571431,14555.142857142855,15677.821428571428
07/03/22,12637.598455598456,9236.25,11901.214285714286,13822.500000000004,15103.53571428571
