dates,mean,p2.5,p25,p75,p97.5
14/01/22,17388.8571428571,17388.8571428571,17388.8571428571,17388.8571428571,17388.8571428571
15/01/22,17233.208435374127,14652.171428571397,16195.899999999978,18117.485714285693,19815.44285714284
16/01/22,16985.411146836723,13145.709642857124,15500.755183928548,18219.064285714274,20991.509069464275
17/01/22,16750.671668509454,12302.349964805893,15084.964560719636,18058.21290110713,21559.227665060258
18/01/22,16565.07875039505,11862.331473214303,14816.444196428565,17863.380174381713,21847.927676989744
19/01/22,16441.111055257657,11703.50973214287,14685.927008928567,17685.967749571217,21986.214401955825
20/01/22,16386.695476863308,11670.51026785715,14663.332743054289,17654.40106418595,22054.318545408132
21/01/22,16408.492993688957,11722.419465282666,14669.690412969992,17616.61206451529,22129.06154204721
22/01/22,16510.419941631568,11947.132426362452,14745.355544414635,17779.66062197138,22282.291719732006
23/01/22,16708.74307026105,12395.286587499908,15062.079425374966,17973.04583556432,22509.051638558863
24/01/22,17005.369905157484,12920.428582661581,15551.034128090205,18276.207870278962,22806.070275551887
25/01/22,17409.53435503205,13602.446946875894,15888.099999999995,18686.53470263839,23177.36595345621
26/01/22,17926.093072239924,14377.84714285714,16327.6223679045,19161.168979031714,23644.769514338936
27/01/22,18555.613433600967,14993.981121590401,16892.79285714286,19905.664003313475,24222.1228963948
28/01/22,19295.553506767643,15352.605714285713,17420.34479423523,20845.424693009732,24902.778448586643
29/01/22,20135.92359119779,15611.092857142852,18076.432799880888,21915.876348956575,25667.357931877952
30/01/22,21061.48140680124,15976.154206001296,19013.314285714292,23006.28119903865,26525.21411231652
31/01/22,22050.155274762692,16396.350714285716,19864.55714285715,24184.390904757478,27529.592003184473
01/02/22,23070.813789679247,16893.128818886064,20840.92659946228,25316.452283061066,28542.900855991655
02/02/22,24091.56275559986,17416.413786131903,21875.94560745141,26395.073521066268,29492.887065802046
03/02/22,25076.634412365845,18081.928735537153,23040.947946455228,27356.268140396274,30309.89183990562
04/02/22,25986.60093866554,18863.894807347635,24156.841415950483,28192.491812569013,31218.97785714286
05/02/22,26785.020015055714,19742.10155036679,25223.65653951465,28963.875827551245,31934.74043790203
06/02/22,27437.514662708192,20683.891971001533,26264.906432708594,29245.833501054152,32485.160686906805
07/02/22,27918.572402601123,21673.590659984795,26586.528571428575,29630.828987180616,33039.261913918344
08/02/22,28210.789638344486,22657.298672490964,26502.919319183107,29950.125772891173,33746.01798222191
09/02/22,28300.596850210288,23567.135,26437.14285714284,30171.391450831048,34279.78162909418
10/02/22,28185.838947144533,23482.65857142857,26118.306626109843,30053.63874565204,34514.37513493778
11/02/22,27871.19327998218,22589.16642857142,25775.914285714287,29945.167000807218,34369.27660509353
12/02/22,27368.467082841544,21297.66000000001,25046.249933704752,29761.90992340008,34077.87025254694
13/02/22,26697.08471395901,19870.80000000001,23933.550000000007,29442.24059456158,33581.00845141274
14/02/22,25875.346500502128,18428.147142857153,22553.40714285714,28981.392017414582,33102.636165031516
15/02/22,24927.935401758517,16989.482857142866,21188.34999999999,28285.803221084996,32250.666561412294
16/02/22,23882.250437183993,15570.952142857153,19742.499300716838,27492.921428571433,31192.650034021677
17/02/22,22760.761051032485,14201.613571428581,18343.173798296877,26991.642857142855,30084.783669364886
18/02/22,21590.541607005984,12934.101428571423,16976.11428571428,26156.35,29450.457940733402
19/02/22,20395.19671606865,11747.302142857137,15641.974540516265,25197.493497639076,28634.581523965007
20/02/22,19192.663119781464,10644.688571428567,14343.753551601665,24045.99285714285,27577.028525831975
21/02/22,18001.649256050747,9639.066428571423,13128.852549211415,22864.45814984515,26694.99595993587
22/02/22,16837.057736795723,8723.162142857138,12004.87707846904,21593.031973639776,25692.942504391758
