dates,mean,p2.5,p25,p75,p97.5
04/12/21,21270.90857645875,14700.821428571428,18024.428571428572,24308.821428571428,29994.803571428572
05/12/21,21876.83689637827,15070.375,18552.67857142857,25022.10714285715,30804.714285714294
06/12/21,22476.410211267605,15455.446428571428,19056.928571428572,25731.142857142848,31589.767857142862
07/12/21,23068.58991448692,15829.33928571428,19545.999999999996,26418.60714285714,32369.44642857143
08/12/21,23651.236795774646,16194.035714285708,20054.071428571428,27084.89285714285,33114.96428571429
09/12/21,24222.85500503018,16552.19642857143,20550.464285714283,27744.785714285717,33856.625
10/12/21,24781.484280684104,16910.089285714286,21042.892857142855,28377.0,34566.982142857145
11/12/21,25324.471705231386,17259.10714285714,21515.75,28983.92857142857,35242.660714285725
12/12/21,25849.824572434605,17629.14285714285,21986.178571428572,29584.642857142855,35900.910714285725
13/12/21,26356.00176056338,17985.553571428572,22432.928571428572,30175.17857142857,36491.303571428565
14/12/21,26841.404803822938,18318.535714285714,22890.071428571428,30734.428571428572,37033.73214285714
15/12/21,27303.837022132793,18661.642857142848,23325.749999999996,31273.892857142848,37529.696428571435
16/12/21,27741.19051810865,18983.60714285714,23733.64285714286,31782.321428571435,37986.803571428565
17/12/21,28152.153672032193,19284.303571428572,24113.28571428571,32232.964285714283,38395.857142857145
18/12/21,28534.409834004025,19575.839285714275,24494.178571428572,32680.107142857145,38750.0
19/12/21,28886.78219315895,19852.55357142858,24837.678571428572,33061.60714285714,39059.92857142857
20/12/21,29207.237298792756,20114.821428571428,25172.750000000004,33405.607142857145,39304.42857142857
21/12/21,29494.299924547286,20371.71428571429,25487.357142857145,33709.785714285696,39485.03571428571
22/12/21,29746.685990945673,20596.446428571435,25785.571428571428,33990.14285714287,39601.60714285713
23/12/21,29963.99647887324,20804.910714285714,26015.071428571435,34235.85714285714,39679.69642857145
24/12/21,30144.437122736414,20993.33928571429,26235.0,34388.96428571429,39694.39285714284
25/12/21,30288.158827967804,21141.01785714286,26414.17857142858,34538.78571428571,39670.75
26/12/21,30394.74358651912,21296.428571428565,26561.60714285714,34616.0,39587.98214285714
27/12/21,30464.283324949698,21411.01785714285,26686.107142857138,34642.25,39451.10714285715
28/12/21,30496.519869215295,21523.375,26789.035714285714,34643.892857142855,39248.535714285725
29/12/21,30492.215543259557,21622.607142857152,26868.57142857143,34587.928571428565,39004.089285714304
30/12/21,30450.323566398387,21698.10714285714,26914.821428571428,34494.107142857145,38692.30357142858
31/12/21,30371.529803822938,21758.089285714283,26914.42857142857,34342.67857142857,38327.232142857145
01/01/22,30256.112424547286,21792.678571428565,26902.14285714285,34147.357142857145,37903.357142857145
02/01/22,30105.60060362173,21804.732142857145,26844.642857142862,33905.64285714285,37451.892857142855
