dates,mean,p2.5,p25,p75,p97.5
06/01/22,2119024.6705276705,1456183.0000000002,1786966.142857143,2302258.4285714286,3196941.1785714286
07/01/22,2346337.2175032175,1601471.8214285716,1985165.0714285714,2558730.9285714286,3545761.3571428573
08/01/22,2594031.337194337,1759563.6428571432,2195469.4285714286,2833663.9285714286,3923300.8928571423
09/01/22,2862988.477477476,1931338.3214285718,2430374.9285714286,3133051.2142857146,4330036.857142857
10/01/22,3153958.034749035,2117459.9642857146,2688715.857142857,3455210.3571428573,4765380.928571428
11/01/22,3467493.3487773496,2318550.5,2970354.6428571427,3785047.428571429,5228721.321428572
12/01/22,3803885.1570141567,2535346.3928571427,3263091.642857143,4160956.5714285714,5718977.464285715
13/01/22,4163121.7490347493,2768637.75,3571505.928571429,4573522.642857144,6234450.571428572
14/01/22,4544850.194337195,3018654.535714286,3899770.0,4979963.857142858,6772504.000000001
15/01/22,4948339.276705277,3285671.75,4265341.285714285,5444020.428571429,7329640.785714286
16/01/22,5372464.361647361,3569893.3571428573,4645240.714285714,5932460.214285715,7902175.750000001
17/01/22,5815699.633204633,3871243.9285714286,5045594.214285715,6442917.214285715,8486451.92857143
18/01/22,6276064.1042471025,4189768.3571428573,5431728.142857143,6972668.285714285,9077974.214285713
19/01/22,6751189.014157015,4525171.607142857,5832776.714285715,7518696.714285715,9671978.5
20/01/22,7238412.1055341065,4876622.964285715,6247075.285714285,8077383.142857144,10263390.357142858
21/01/22,7734733.877734879,5243321.357142857,6672921.285714285,8644383.357142858,10847531.75
22/01/22,8236950.383526383,5624170.892857143,7108231.571428572,9215484.285714285,11419739.392857144
23/01/22,8741757.078507079,6017747.392857143,7550720.0,9786284.785714285,11976022.92857143
24/01/22,9245796.74259974,6422547.392857143,7998173.5,10351888.714285715,12512678.32142857
25/01/22,9745768.944658944,6836586.214285715,8448264.214285716,10906358.92857143,13026359.607142858
26/01/22,10238532.840411842,7257683.571428571,8898228.642857144,11447655.92857143,13514494.107142858
27/01/22,10721136.293436293,7683812.964285715,9345559.785714287,11972062.42857143,13975443.857142858
28/01/22,11190946.559845561,8112616.0,9787781.92857143,12476834.285714285,14407957.67857143
29/01/22,11645657.984555988,8541786.928571427,10222485.785714287,12959253.357142856,14863455.392857144
30/01/22,12083352.297297299,8969019.892857142,10647545.785714287,13417302.285714284,15265455.142857144
31/01/22,12502432.782496786,9392073.535714285,11061000.714285716,13849583.857142856,15628118.25
01/02/22,12901743.972972972,9808974.464285715,11461040.785714287,14255414.92857143,16018615.0
02/02/22,13280501.105534106,10217677.214285715,11846278.642857146,14634386.214285713,16374918.107142856
03/02/22,13638222.108108103,10616285.32142857,12215642.142857146,14986518.785714285,16698462.857142858
04/02/22,13974766.355212355,11003360.142857142,12568158.571428575,15312291.142857142,16991167.214285713
05/02/22,14290249.68082368,11377446.107142856,12903273.642857146,15612561.285714287,17255231.89285714
06/02/22,14585010.427284425,11737339.714285713,13220599.071428575,15888417.714285715,17492598.14285714
07/02/22,14859602.957528958,12082409.14285714,13520038.214285716,16141005.57142857,17705510.749999996
08/02/22,15114709.029601028,12411563.999999998,13801810.500000002,16371615.07142857,17896224.64285714
09/02/22,15351110.6988417,12724441.321428569,14066746.0,16581711.5,18066689.42857143
10/02/22,15569722.104247104,13020817.0,14314688.071428573,16775427.714285713,18218789.642857146
11/02/22,15771465.155727161,13300708.464285713,14545906.857142858,16953699.571428575,18354269.035714284
12/02/22,15957304.823680824,13564210.714285713,14761068.142857144,17115334.92857143,18474911.535714284
13/02/22,16128196.77091377,13811440.107142854,14960773.42857143,17261669.42857143,18582243.964285713
14/02/22,16285121.673101673,14042995.964285713,15145719.07142857,17394056.35714286,18677694.571428567
15/02/22,16429032.254826253,14259361.39285714,15316774.42857143,17513650.285714287,18762524.321428567
16/02/22,16560864.655083653,14461230.928571425,15474900.071428573,17621504.785714287,18837880.82142857
17/02/22,16681490.066924065,14649098.785714284,15620713.214285716,17718754.0,18904797.464285713
18/02/22,16791756.734877735,14823516.82142857,15755013.42857143,17806415.0,18964171.964285713
19/02/22,16892473.189189192,14985232.499999998,15878600.357142858,17885342.714285716,19016851.785714284
20/02/22,16984408.339768335,15135028.178571425,15992171.071428573,17956360.14285714,19063650.999999996
21/02/22,17068270.7966538,15273559.857142854,16096595.571428573,18020269.64285714,19105153.321428567
22/02/22,17144705.972972978,15401483.357142856,16192407.642857146,18077688.285714284,19141920.0
23/02/22,17214333.526383527,15519547.142857142,16280177.714285716,18129336.57142857,19174451.249999996
24/02/22,17277729.90990991,15628274.32142857,16360517.42857143,18175770.85714286,19203309.64285714
25/02/22,17335426.184041183,15728383.964285713,16434037.92857143,18217754.85714285,19228896.46428572
26/02/22,17387911.514800515,15820485.57142857,16501275.500000002,18255724.928571425,19252201.5
27/02/22,17435633.992277995,15905159.892857142,16562783.857142858,18289796.28571428,19272684.10714286
28/02/22,17479004.08365508,15982929.499999998,16618898.142857144,18320350.142857134,19290798.25
01/03/22,17518419.43629343,16054329.57142857,16670179.92857143,18347745.642857134,19306765.785714287
02/03/22,17554223.164736167,16119833.0,16716988.642857144,18372326.78571428,19320518.60714286
03/03/22,17586735.41698842,16179948.892857142,16760338.642857146,18394347.35714285,19332673.42857143
04/03/22,17616252.76447876,16235060.75,16800137.071428575,18414102.71428571,19343442.10714286
05/03/22,17643040.797940794,16285577.178571427,16836469.35714286,18431802.85714285,19352962.785714287
06/03/22,17667347.10939511,16331842.535714284,16869576.28571429,18447644.71428571,19361351.642857146
07/03/22,17689399.96138996,16374226.25,16899710.071428575,18461828.928571425,19368702.321428575
08/03/22,17709400.325611327,16413019.107142856,16927044.785714287,18474519.35714285,19375565.42857142
09/03/22,17727534.526383527,16448511.32142857,16951932.35714286,18485882.071428567,19381712.499999993
10/03/22,17743974.157014158,16480923.25,16974577.285714287,18496062.999999996,19387141.392857134
11/03/22,17758875.43243243,16510483.357142856,16995211.0,18505159.642857138,19391949.249999993
12/03/22,17772384.208494205,16537502.857142856,17013994.85714286,18513287.71428571,19396185.749999993
13/03/22,17784624.80823681,16562192.714285715,17031054.5,18520559.499999993,19399926.17857142
14/03/22,17795717.889317885,16584731.67857143,17046603.214285716,18527064.71428571,19403223.67857142
15/03/22,17805769.034749035,16605329.5,17060662.071428567,18532877.999999993,19406125.60714285
16/03/22,17814877.57528957,16624124.0,17073291.714285713,18537801.21428571,19408697.428571418
17/03/22,17823128.558558557,16641310.035714284,17084782.857142854,18542206.42857142,19410973.32142856
