dates,mean,p2.5,p25,p75,p97.5
06/01/22,207978.507078507,133241.92857142858,176627.21428571426,231455.0,320847.14285714284
07/01/22,227312.54697554695,145285.2857142857,193180.21428571426,254276.0,348716.07142857136
08/01/22,247694.11969111967,157989.7142857143,209124.5,278467.78571428574,377374.53571428574
09/01/22,268957.1402831403,171683.5,225791.7857142857,303830.5714285714,406446.7857142857
10/01/22,290969.5572715572,186000.0357142857,243121.42857142858,330183.2857142857,435024.0
11/01/22,313535.314028314,201090.53571428574,261003.92857142858,357242.2142857143,462999.64285714284
12/01/22,336391.80823680834,216795.89285714287,279304.2857142857,384514.7142857143,489830.9285714285
13/01/22,359236.592020592,233199.10714285716,297825.9285714286,411629.0,514894.3214285715
14/01/22,381728.44530244527,249985.60714285713,316377.5714285715,438374.7142857143,540137.0714285714
15/01/22,403489.0823680823,266992.7857142857,334628.0714285715,464209.7857142857,565005.0714285715
16/01/22,424125.084942085,284221.60714285716,352609.14285714284,488180.2857142857,594941.2857142857
17/01/22,443235.27155727166,301350.5714285714,369783.14285714284,510010.71428571426,620774.7142857143
18/01/22,460364.47104247106,318524.4285714286,385813.0,529098.8571428572,641987.0357142857
19/01/22,475124.90990991006,335403.25,400746.0714285714,545047.8571428572,657667.3214285714
20/01/22,487223.0913770914,351451.35714285716,414107.14285714284,557303.7142857143,667455.4642857143
21/01/22,496321.77220077225,366698.39285714284,425765.0,565505.5,671195.2142857143
22/01/22,502216.50579150586,380849.53571428574,435488.4285714285,569959.0,669366.7142857143
23/01/22,504806.69498069497,393576.5,442839.14285714284,567156.3571428572,661698.3928571428
24/01/22,504039.664092664,404800.0,447991.2857142857,562173.2857142857,647601.9285714286
25/01/22,499972.202059202,414064.75,449443.5,551821.9285714286,627732.7142857143
26/01/22,492763.89575289574,421332.0714285714,448437.35714285716,544615.7142857143,602867.0
27/01/22,482603.4530244531,426407.3214285715,446886.14285714284,530810.7142857143,573857.7142857143
28/01/22,469810.2664092664,425168.71428571426,440011.9285714286,512253.0,541447.5714285714
