dates,mean,p2.5,p25,p75,p97.5
27/02/22,15657.16467513760,12322.441857964600,13332.94763371140,18076.399456060400,20369.465216430000
28/02/22,15215.714747209300,11683.414635659800,13018.910302771500,17439.38782289460,20147.38076489890
01/03/22,14957.653198883400,11198.084408447000,12798.214378255100,17029.525006954800,20364.580468578000
02/03/22,14683.602163007800,10664.866641843700,12553.528328856400,16601.123035051100,20389.318123035900
03/03/22,14226.930728617000,9962.045862260330,12162.075609479700,16073.043590217700,20265.513756187400
04/03/22,13624.676005973900,9166.295720857440,11535.734517163600,15332.571262638200,19897.090684965400
05/03/22,12966.860873207000,8299.469563613270,10717.627107108400,14746.580522821700,19436.33574142530
06/03/22,12307.939164685100,7485.985593709010,9919.102724030170,14133.493341039900,18887.849684283600
07/03/22,11669.396024306600,6748.51536151451,9197.097287873000,13648.261780406700,18306.960687850200
08/03/22,11060.061321112200,6104.655373979980,8524.91367151479,13114.31537029870,17753.1699418476
09/03/22,10478.549792387900,5534.984821803220,7903.810993536390,12619.386399570000,17191.93515609980
10/03/22,9926.913076800270,4979.687217529460,7278.951546832200,12181.527686188100,16659.012437860400
11/03/22,9401.885628139520,4497.195833651640,6677.356694322710,11687.83756040810,16119.979983762700
12/03/22,8908.315503819790,4038.965363339090,6159.132310062410,11253.525208904000,15597.170950672800
13/03/22,8438.28286845924,3651.3467950668500,5697.726435646830,10797.45378762910,15082.97451513080
14/03/22,7993.1942318617400,3277.7489416031500,5263.8983002684100,10341.52730745600,14578.541518504400
15/03/22,7570.08618327687,2944.5246502207000,4848.549424042110,9899.812359877210,14091.556145740400
16/03/22,7170.910436953270,2651.474884129700,4491.749803709100,9436.926532668330,13593.487320060100
17/03/22,6794.4531425014700,2360.6999620483200,4140.703543746800,9079.205558513490,13137.550680797900
18/03/22,6438.102565846730,2098.2999875902400,3823.6499773861800,8662.496911157000,12670.027126672600
19/03/22,6097.538232060880,1871.1249959289700,3519.5499923424700,8245.485229834460,12167.134394588900
20/03/22,5775.970876147240,1668.9999986641300,3245.5999974022200,7835.362605534660,11731.758107856000
21/03/22,5471.69897516403,1495.7499995595800,3004.8910775195700,7426.95986910274,11298.676920910700
22/03/22,5184.447283398940,1337.249999855150,2755.4999997015200,7054.81194570664,10901.160318565800
23/03/22,4911.113236030470,1186.124999952730,2545.249999898570,6685.675106934070,10508.198016686100
24/03/22,4652.530623395360,1056.7749999845100,2345.099999965620,6334.430893480010,10057.842440423600
25/03/22,4408.343177699880,937.1999999949460,2169.299999988300,5994.624143935420,9691.959276338400
26/03/22,4177.4825204447300,833.0499999983470,1998.6999999960300,5711.321701671130,9327.457268801560
27/03/22,3957.6627109234300,749.474999999453,1841.249999998660,5403.604705275570,8935.821667397250
28/03/22,3750.647273342660,664.8249999998210,1693.0499999995500,5119.221108373400,8597.09972408802
29/03/22,3555.690970847550,593.2249999999410,1560.0499999998500,4853.030962327830,8244.710152531600
30/03/22,3372.7528213144500,529.6499999999810,1443.6499999999500,4559.264912968360,7895.150642865750
31/03/22,3198.1600558542900,474.4749999999940,1322.546204222930,4279.217177246730,7608.598975297790
01/04/22,3030.8481136873400,423.7999999999980,1213.649999999990,4049.805949406520,7317.388386208780
02/04/22,2875.079986630840,372.89999999999900,1117.250000000000,3812.7836256734100,7023.9560687077800
03/04/22,2728.6325752240000,329.6000000000000,1025.250000000000,3612.934905619250,6713.728469415190
04/04/22,2588.814298743710,290.1500000000000,944.5806915512540,3398.53131139008,6433.824475104010
05/04/22,2456.6815786040700,259.6250000000000,862.04232182028,3230.3241354945700,6229.352370170710
06/04/22,2330.7848291259000,228.62500000000000,788.25,3028.5360964444800,5949.460936860780
07/04/22,2211.7522321690200,201.02500000000000,721.05,2857.708207680790,5762.406760591840
