dates,mean,p2.5,p25,p75,p97.5
06/03/22,11664.090849242923,6274.428571428576,7840.714285714285,14409.0,24123.571428571424
07/03/22,11204.03467193329,5891.857142857143,7433.714285714293,13801.857142857147,23610.28571428571
08/03/22,10736.421329822251,5561.1428571428605,7040.571428571428,13202.571428571428,22997.571428571424
09/03/22,10263.867237217466,5266.835428571434,6671.965714285717,12658.345714285713,22229.84514285714
10/03/22,9791.325268027213,4987.466959999998,6305.269885714287,12126.456514285706,21467.828571428574
11/03/22,9322.120156945359,4648.0901376,5945.644320000003,11589.755770285712,20931.236271771428
12/03/22,8859.399332257444,4338.790746422862,5600.355933759999,10987.776589439996,20182.739655218287
13/03/22,8405.202037670046,4050.3915221877915,5273.0,10319.212364194287,19642.98547622345
14/03/22,7961.745026299638,3767.1079990799353,4967.550974062204,9778.18129779994,19253.61276932716
15/03/22,7529.919712386065,3462.932058961675,4659.428571428571,9217.260840280396,18646.029092638477
16/03/22,7111.0929089482015,3196.8757486831787,4371.585022749178,8648.856887566435,17711.31428571429
17/03/22,6706.967121479425,2947.441267317873,4093.285714285714,8122.9662327877195,16741.457142857147
18/03/22,6318.375029315803,2720.525617812775,3824.285714285716,7655.98152580708,15898.577994927633
19/03/22,5945.639579859304,2502.7716519320593,3578.253634658612,7153.505107212745,15133.23058034181
20/03/22,5589.018398930922,2306.8653834799234,3332.5714285714303,6717.287257558988,14499.337375995607
21/03/22,5248.879946315116,2128.56608519891,3112.1428571428596,6283.132640937695,13869.569809262874
22/03/22,4925.701763732863,1952.5570746000792,2891.8571428571404,5905.986943469415,13251.336720474292
23/03/22,4619.254729938611,1788.898774504613,2694.194576578628,5525.12994701846,12612.516732246382
24/03/22,4329.153417877052,1644.4063813815285,2507.442103481144,5206.97617940869,12047.410458080358
25/03/22,4054.6411171782543,1509.3556530877097,2340.8571428571445,4868.039311066686,11405.36642829921
26/03/22,3795.8117505138653,1383.2597253771332,2173.588874542674,4552.044061593648,10812.803463007882
27/03/22,3552.1859274986678,1271.8223818773527,2020.7142857142885,4260.039556211008,10220.071476575162
28/03/22,3323.20792700958,1162.8777142299834,1864.1428571428564,3992.009553393288,9650.46413536149
29/03/22,3107.995172826082,1064.7732950159768,1729.4285714285734,3762.316913081481,9088.19522652804
30/03/22,2905.9922289026103,972.9307333848171,1602.468761115359,3499.6562661592307,8549.046725151944
31/03/22,2716.6430392944458,887.5315596501246,1485.4285714285725,3250.4399261453855,8059.712356341005
01/04/22,2539.6242842366028,813.0235751548886,1370.9909349277164,3042.0143922574944,7597.614191621179
02/04/22,2374.286029279487,743.3306122922259,1268.9999999999995,2867.54490603943,7134.948595470129
03/04/22,2219.98103183841,680.6792488835649,1177.2857142857092,2700.4285714285706,6719.873403892263
04/04/22,2075.923973226911,622.7039095219238,1094.8571428571388,2547.4061459242353,6301.873639944017
